source,figure_ref,page,caption
ar4_wg3_full_report-1.pdf,Figure TS.25:,86,"Figure TS.25: Distribution of landfill gas CDM projects based on average annual 
CERs for registered projects late October, 2006 [Figure 10.9].
"
ar4_wg3_full_report-1.pdf,Figure TS.26A ,87,"Figure TS.26A and Table TS.15 show that the bottom-up 
assessments emphasize the opportunities for no-regrets options 
in many sectors, with a bottom-up estimate for all sectors by 
2030 of about 6 GtCO2-eq at negative costs; that is, net benefits. 
A large share of the no-regrets options is in the building sector. 
The total for bottom-up low cost options (no-regrets and other 
options costing less than 20 US$/tCO2-eq) is around 13 GtCO2-
eq (ranges are discussed below). There are additional bottom-
up potentials of around 6 and 4 GtCO2-eq at additional costs 
of <50 and 100 US$/tCO2-eq respectively (medium agreement, 
medium evidence) [11.3.1].
"
ar4_wg3_full_report-1.pdf,Figure TS.15 ,87,"Figure TS.15 and Table TS.16 show that the overall  
bottom-up potentials are comparable with those of the 2030 
results from top-down models, as reported in Chapter 3. 
"
ar4_wg3_full_report-1.pdf,Figure TS.26A:,88,"Figure TS.26A: Global economic mitigation potential in 2030 estimated  
from bottom-up studies. Data from Table TS.15. [Figure 11.3].
"
ar4_wg3_full_report-1.pdf,Figure TS.26B:,88,"Figure TS.26B: Global economic mitigation potential in 2030 estimated  
from top-down studies.  Data from Table TS.16. [Figure 11.3].
"
ar4_wg3_full_report-1.pdf,Figure TS.27:,90,"Figure TS.27: Estimated sectoral economic potential for global mitigation for different regions as a function of carbon price in 2030 from bottom-up studies,  
compared to the respective baselines assumed in the sector assessments. A full explanation of the derivation of this figure is found in Section 11.3.
 
Notes:
1.	
The ranges for global economic potentials as assessed in each sector are shown by vertical lines. The ranges are based on end-use allocations of emissions, 
meaning that emissions of electricity use are counted towards the end-use sectors and not to the energy supply sector.
2.	
The estimated potentials have been constrained by the availability of studies particularly at high carbon price levels.
3.	
Sectors used different baselines. For industry the SRES B2 baseline was taken, for energy supply and transport the WEO 2004 baseline was used; the building 
sector is based on a baseline in between SRES B2 and A1B; for waste, SRES A1B driving forces were used to construct a waste specific baseline, agriculture  
and forestry used baselines that mostly used B2 driving forces.
4.	
Only global totals for transport are shown because international aviation is included [5.4].
5.	
Categories excluded are: non-CO2 emissions in buildings and transport, part of material efficiency options, heat production and cogeneration in energy supply, 
heavy duty vehicles, shipping and high-occupancy passenger transport, most high-cost options for buildings, wastewater treatment, emission reduction from coal 
mines and gas pipelines, fluorinated gases from energy supply and transport. The underestimation of the total economic potential from these emissions is of the 
order of 10-15%.
"
ar4_wg3_full_report-1.pdf,Figure 1.1a  ,114,"Figure 1.1a  Global anthropogenic greenhouse gas trends, 1970–2004. 
"
ar4_wg3_full_report-1.pdf,Figure 1.1b  ,114,"Figure 1.1b  Global anthropogenic greenhouse gas emissions in 2004. 
"
ar4_wg3_full_report-1.pdf,Figure 1.2:,115,"Figure 1.2:  Sources of global CO2 emissions, 1970–2004 (only direct emissions by sector).
1) Including fuelwood at 10% net contribution. For large-scale biomass burning, averaged data for 1997–2002 are based on the Global Fire Emissions Database satellite 
data (van der Werf et al., 2003). Including decomposition and peat fires (Hooijer et al., 2006).  Excluding fossil fuel fires.
2) Other domestic surface transport, non-energetic use of fuels, cement production and venting/flaring of gas from oil production.
3) Including aviation and marine transport.
"
ar4_wg3_full_report-1.pdf,Figure 1.3a:,116,"Figure 1.3a:  GHG emissions by sector in 1990 and 2004. 
"
ar4_wg3_full_report-1.pdf,Figure 1.3b:,116,"Figure 1.3b:  GHG emissions by sector in 2004.
"
ar4_wg3_full_report-1.pdf,Figure 1.4a:,117,"Figure 1.4a:  Distribution of regional per capita GHG emissions (all 
Kyoto gases including those from land-use) over the population of different 
country groupings in 2004.  The percentages in the bars indicate a region’s 
share in global GHG emissions.
"
ar4_wg3_full_report-1.pdf,Figure 1.4b:,117,"Figure 1.4b: Distribution of regional GHG emissions (all Kyoto gases including 
those from land-use) per USD of GDPppp over the GDP of different country groupings 
in 2004. The percentages in the bars indicate a region’s share in global GHG 
emissions.  
"
ar4_wg3_full_report-1.pdf,Figure 1.5:,119,"Figure 1.5:  Intensities of energy use and CO2 emissions, 1970–2004. 
"
ar4_wg3_full_report-1.pdf,Figure 1.6:,119,"Figure 1.6:  Decomposition of global energy-related CO2 emission changes at the global scale for three historical and three future decades. 
"
ar4_wg3_full_report-1.pdf,Figure 1.7  ,122,"Figure 1.7  Global GHG emissions for 2000 and projected baseline emissions for 2030 and 2100 from IPCC SRES and the post-SRES literature. The figure provides the emis-
sions from the six illustrative SRES scenarios. It also provides the frequency distribution of the emissions in the post-SRES scenarios (5th, 25th, median, 75th, 95th percentile), 
as covered in Chapter 3. F-gases include HFCs, PFCs and SF6
"
ar4_wg3_full_report-1.pdf,Figure 2.1:,160,"Figure 2.1: Emission impacts of exploring the full spectrum of technological 
uncertainty in a given scenario without climate policies. Relative frequency (percent) 
of 130,000 scenarios of full technological uncertainty regrouped into 520 sets of 
technology dynamics with their corresponding carbon emissions by 2100. Also 
shown is a subset of 13,000 scenarios grouped into 53 sets of technology dynamics 
that are all ‘optimal’ in the sense of satisfying a cost minimization criterion in the 
objective function. See text for further discussion. 1 Gt C = 3.7 Gt CO2
Source: Adapted from Gritsevskyi and Nakicenovic, 2000.
"
ar4_wg3_full_report-1.pdf,Figure 2.2:,162,"Figure 2.2: The impacts of different technology assumptions on energy systems 
costs and emissions (cumulative 1990–2100, systems costs (undiscounted) in 
trillion US$) in no-climate policy baseline (reference) scenarios (based on the SRES 
A1 scenario family that share identical population and GDP growth assumptions) 
and in illustrative stabilization scenarios (750, 650, 550 and 450 ppm respectively). 
For comparison: the total cumulative (undiscounted) GDP of the scenarios is around 
30,000 trillion US$ over the 1990–2100 time period. 
"
ar4_wg3_full_report-1.pdf,Figure 2.3 :,168,"Figure 2.3 : Technology development cycle and its main driving forces. Note that important overlaps and feedbacks exist between the stylized technology life-cycle phases 
illustrated here and therefore the illustration does not suggest a ‘linear’ model of innovation. 
"
ar4_wg3_full_report-1.pdf,Figure 2.4 ,170,"Figure 2.4 shows one attempt to create a framework for all 
forms of technology transfer. In all forms technology transfer, 
especially across countries, at least seven characteristics are 
important. These are:
1.	 The characteristics of the technology.
2.	 The characteristics of the originator of the transfer.
3.	 The enabling (or disabling) environment in the country of 
"
ar4_wg3_full_report-1.pdf,Figure 2.4:,170,"Figure 2.4: A general framework for factors affecting technology transfer and subsequent innovation.
"
ar4_wg3_full_report-1.pdf,Figure 3.1:,190,"Figure 3.1: Comparison of population assumptions in post-SRES emissions 
scenarios with those used in previous scenarios. Blue shaded areas span the range 
of 84 population scenarios used in SRES or pre-SRES emissions scenarios; individual 
curves show population assumptions in 117 emissions scenarios in the literature 
since 2000. The two vertical bars on the right extend from the minimum to maximum 
of the distribution of scenarios by 2100. The horizontal bars indicate the 5th, 25th, 
50th, 75th and the 95th percentiles of the distributions. 
"
ar4_wg3_full_report-1.pdf,Figure 3.2:,191,"Figure 3.2: Comparison of GDP projections in post-SRES emissions scenarios 
with those used in previous scenarios. The median of the new scenarios is about 7% 
below the median of the pre-SRES and SRES scenario literature. The two vertical 
bars on the right extend from the minimum to maximum of the distribution of 
scenarios by 2100. The horizontal bars indicate the 5th, 25th, 50th, 75th and the 95th 
percentiles of the distributions.
"
ar4_wg3_full_report-1.pdf,Figure 3.3:,192,"Figure 3.3: Comparison of global GDP growth per person in the SRES scenarios and more recent projections. 
"
ar4_wg3_full_report-1.pdf,Figure 3.4:,193,"Figure 3.4: Regional GDP per person, expressed in MER and PPP on the basis of World Bank data aggregated to 17 global regions.
"
ar4_wg3_full_report-1.pdf,Figure 3.5:,194,"Figure 3.5: Comparison of 153 SRES and pre-SRES baseline energy scenarios in 
the literature compared with the 133 more recent, post-SRES scenarios. The ranges 
are comparable, with small changes on the lower and upper boundaries. 
"
ar4_wg3_full_report-1.pdf,Figure 3.6:,195,"Figure 3.6: Development of carbon intensity of energy (left) and primary energy intensity of GDP (right). Historical development and projections from SRES and pre-SRES 
scenarios compared to post-SRES scenarios. 
"
ar4_wg3_full_report-1.pdf,Figure 3.7:,197,"Figure 3.7: Global cropland (a), forest land (b) and grassland (c) projections.
"
ar4_wg3_full_report-1.pdf,Figure 3.8:,198,"Figure 3.8: Comparison of the SRES and pre-SRES energy-related and industrial 
CO2 emissions scenarios in the literature with the post-SRES scenarios. 
"
ar4_wg3_full_report-1.pdf,Figure 3.9:,198,"Figure 3.9: Comparison of various long-term scenario studies for CO2 emissions. Left panel: IPCC SRES, EMF-21 range (grey area), indicating the range of the lowest and 
highest reported values in the EMF-21 study (Weyant et al., 2006). Right panel: Webster et al. (2002) and Richels et al. (2004), indicating the mean (markers) and 95% intervals 
of the reported ranges of these studies (for the latter, showing the 95% interval of the combined range for optimistic and pessimistic technology). 
"
ar4_wg3_full_report-1.pdf,Figure 3.10:,199,"Figure 3.10: Baseline land-use change and forestry carbon net emissions.
"
ar4_wg3_full_report-1.pdf,Figure 3.11:,202,"Figure 3.11: Development of baseline emissions in the EMF-21 scenarios (left) and comparison between EMF21 and SRES scenarios (right).
"
ar4_wg3_full_report-1.pdf,Figure 3.12:,203,"Figure 3.12: Sulphur dioxide emission scenarios. 
"
ar4_wg3_full_report-1.pdf,Figure 3.13:,204,"Figure 3.13: NOx emission scenarios. 
"
ar4_wg3_full_report-1.pdf,Figure 3.14:,205,"Figure 3.14: Total black carbon (left panel) and organic carbon (right panel) emission estimates in scenarios from different studies.  
"
ar4_wg3_full_report-1.pdf,Figure 3.15:,207,"Figure 3.15: Reduction of emissions in the stabilization strategies aiming for stabilization at 4.5 W/m2 (multi-gas strategies) in EMF-21.
"
ar4_wg3_full_report-1.pdf,Figure 3.17 ,208,"Figure 3.17 shows the projected CO2 emissions associated 
with the new mitigation scenarios. In addition, the figure depicts 
the range of the TAR stabilization scenarios (more than 80 
"
ar4_wg3_full_report-1.pdf,Figure 3.16:,208,"Figure 3.16: Relationship of total radiative forcing vis-à-vis CO2 concentration 
for the year 2100 (25 multi-gas stabilization scenarios for alternative stabilization 
targets).
"
ar4_wg3_full_report-1.pdf,Figure 3.17:,210,"Figure 3.17: Emissions pathways of mitigation scenarios for alternative groups of stabilization targets (Categories I to VI, see Table 3.5). The pink area gives the projected 
CO2 emissions for the recent mitigation scenarios developed post-TAR. Green shaded areas depict the range of more than 80 TAR stabilization scenarios (Morita et al., 2001). 
Category I and II scenarios explore stabilization targets below the lowest target of the TAR.
"
ar4_wg3_full_report-1.pdf,Figure 3.18:,210,"Figure 3.18: Relationship between the scenario’s cumulative carbon dioxide 
emissions (2000–2100) and the stabilization target (stabilization categories I to VI,  
of Table 3.5). 
"
ar4_wg3_full_report-1.pdf,Figure 3.19:,211,"Figure 3.19: Relationship between the stringency of the stabilization target (category I to VI) and 1) the time at which CO2 emissions have to peak (left-hand panel), and 2) the 
year when emissions return to present (2000) levels. 
"
ar4_wg3_full_report-1.pdf,Figure 3.20:,212,"Figure 3.20: Relationship between required cumulative emissions reduction and carbon emissions in the baseline by 2030 (left-hand panel) and 2100 (right-hand panel). 
"
ar4_wg3_full_report-1.pdf,Figure 3.23 ,213,"Figure 3.23 also illustrates the increase in emissions reductions 
necessary to strengthen the target from 4.5 to about 3–3.6  
W/m2. Most of the mitigation options increase their contribution 
significantly by up to a factor of more than two. This effect is 
particularly strong over the short term (2000–2030), indicating 
the need for early abatement in meeting stringent stabilization 
targets. Another important conclusion from the figure is that 
CCS and forest sink options are playing a relatively modest 
"
ar4_wg3_full_report-1.pdf,Figure 3.21:,213,"Figure 3.21: Response index to assess priority setting in energy-intensity reduction (more than 1) or in carbon-intensity reduction (less than 1) for post-TAR stabilization 
scenarios. 
"
ar4_wg3_full_report-1.pdf,Figure 3.22:,214,"Figure 3.22: Cumulative contribution of alternative mitigation measures by source 
(2000–2100) 
"
ar4_wg3_full_report-1.pdf,Figure 3.23:,214,"Figure 3.23: Cumulative emissions reductions for alternative mitigation measures for 2000 to 2030 (left-hand panel) and for 2000-2100 (right-hand panel). The figure shows 
illustrative scenarios from four models (AIM, IMAGE, IPAC and MESSAGE) for stabilization levels of 490-540 ppmv CO2-eq and levels of 650 ppmv CO2-eq, respectively. Dark bars 
denote reductions for a target of 650 ppmv CO2-eq and light bars the additional reductions to achieve 490-540 ppmv CO2-eq. Note that some models do not consider mitigation 
through forest sink enhancement (AIM and IPAC) or CCS (AIM) and that the share of low-carbon energy options in total energy supply is also determined by inclusion of these 
options in the baseline. CCS includes carbon capture and storage from biomass. Forest sinks include reducing emissions from deforestation. 
"
ar4_wg3_full_report-1.pdf,Figure 3.25 ,215,"Figure 3.25 shows the relationship between stabilization 
targets and alternative measures of mitigation costs, comprising 
GDP losses, net present value of abatement, and carbon price in 
terms of US$ /tCO2-eq. 
"
ar4_wg3_full_report-1.pdf,Figure 3.25a ,215," Figure 3.25a shows that the majority of studies find that 
GDP losses increase with the stringency of the target, even 
though there is considerable uncertainty with respect to the 
range of losses. Barker et al. (2006) found that, after allowing 
for baseline emissions, the differences can be explained by: 
• The spread of assumptions in modelling-induced technical 
"
ar4_wg3_full_report-1.pdf,Figure 3.24:,215,"Figure 3.24: Primary energy mix for the years 2030 and 2100. Illustrative scenarios aim at stabilizing radiative forcing at low (3–3.6 W/m2) and intermediate levels  
(4.5 W/m2) respectively. 
"
ar4_wg3_full_report-1.pdf,Figure 3.25:,216,"Figure 3.25: Figure 3.25 Relationship between the cost of mitigation and long-term stabilization targets (radiative forcing compared to pre-industrial level, W/m2 and CO2-eq 
concentrations).
"
ar4_wg3_full_report-1.pdf,Figure 3.26:,219,"Figure 3.26: Reduction of emissions in the CO2-only versus multi-gas strategies.
"
ar4_wg3_full_report-1.pdf,Figure 3.28 ,220,"Figure 3.28 presents the projected mitigation from forestry, 
agriculture, and biomass for the EMF-21 4.5 W/m2 stabilization 
scenarios, as well as additional scenarios produced by the 
MESSAGE and IMAGE models – an approximate 3 W/m2 
scenario from Rao and Riahi (2006), a 4.5 W/m2 scenario from 
Riahi et al. (2006), and approximately 4.5, 3.7, and 2.9 W/m2 
scenarios from Van Vuuren et al. (2007) (see Rose et al., 2007, 
for a synthesis). While there are clearly different land-based 
mitigation pathways being taken across models for the same 
stabilization target, and across targets with the same model and 
assumptions, some general observations can be made. First, 
forestry, agriculture, and biomass are called upon to provide 
significant cost-effective mitigation contributions (Rose et 
al., 2007). In the short-term (2000–2030), forest, agriculture, 
and biomass together could account for cumulative abatement 
of 10–65 GtCO2-eq, with 15–60% of the total abatement 
considered by the available studies, and forest/agricultural non-
CO2 abatement providing at least three quarters of total land 
abatement.18 Over the entire century (2000–2100), cumulative 
land-based abatement of approximately 345–1260 GtCO2-eq 
is estimated to be cost-effective, accounting for 15–40% of 
total cumulative abatement. Forestry, agriculture, and biomass 
abatement levels are each projected to grow annually with 
relatively stable annual increases in agricultural mitigation and 
gradual deployment of biomass mitigation, which accelerates 
dramatically in the last half of the century to become the 
dominant land-mitigation strategy. 
"
ar4_wg3_full_report-1.pdf,Figure 3.27:,220,"Figure 3.27: Reduction in GHG abatement price (%) in multi-gas stabilization 
scenarios compared to CO2-only cases. Ranges correspond to alternative scenarios 
for a stabilization target of 4.5 W/m2.
"
