image_id,source,caption,image_path
98,ar4_wg3_full_report-1.pdf,"Figure 3.3: Comparison of global GDP growth per person in the SRES scenarios and more recent projections. 
Notes: SRES = (Nakicenovic et al., 2000), WB = World Bank (World Bank, 2004), DoE = assumptions used by US Department of Energy (USDOE, 2004), 
IEA assumptions used by IEA (IEA, 2002 and 2004); (Van Vuuren and O'Neill, 2006).",./images/98.png
102,Climate Change 2007 - Synthesis Report.pdf,"Figure 2.2. (a) Distribution of regional per capita GHG emissions according to the population of different country groupings in 2004 (see appendix for
definitions of country groupings). (b) Distribution of regional GHG emissions per US$ of GDPPPP over the GDP of different country groupings in 2004. The
percentages in the bars in both panels indicate a region's share in global GHG emissions. {WGIII Figures SPM.3a, SPM.3b}",./images/102.png
104,ar4_wg3_full_report-1.pdf,"Figure 3.26: Reduction of emissions in the CO2-only versus multi-gas strategies.
Source: De la Chesnaye and Weyant, 2006 (see also Van Vuuren et al., 2006b)",./images/104.png
107,SR15_Chapter_2_LR.pdf,"Figure 2.25 | Agricultural emissions in transformation pathways. Global agricultural (a) CH4 and (b) N2O emissions. Box plots show median, interquartile range and full 
range. Classes are defined in Section 2.1. ",./images/107.png
108,Research for Universal Health Coverage 2013.pdf,fig 22 the share of internationally coauthored science and engineering articles worldwide by country 2000 and 2010,./images/108.png
112,ar4_wg3_full_report-1.pdf,"Figure 3.19: Relationship between the stringency of the stabilization target (category I to VI) and 1) the time at which CO2 emissions have to peak (left-hand panel), and 2) the 
year when emissions return to present (2000) levels. ",./images/112.png
122,ar4_wg3_full_report-1.pdf,"Figure 3.24: Primary energy mix for the years 2030 and 2100. Illustrative scenarios aim at stabilizing radiative forcing at low (3-3.6 W/m2) and intermediate levels 
(4.5 W/m2) respectively. 
Note: BL= Baseline. For the corresponding contribution of individual mitigation measures in (in GtCO2) see also Figure 3.23.",./images/122.png
125,WGIII_TAR_full_report.pdf,"Figure 2.17: Timing of when per capita CO2 emissions in Annex I countries would fall below per capita CO2 emissions in non-
Annex I countries, assuming that all CO2 emission reduction necessary for stabilization would occur in Annex I countries and
that non-Annex I countries would emit CO2 without any controls.",./images/125.png
126,Fourth National Climate Assessment  Volume I.pdf,"Figure 1.6: Comparison of global mean temperature anomalies (degF) from observations (through 2016) and the 
CMIP5 multimodel ensemble (through 2016), using the reference period 1901-1960. The CMIP5 multimodel 
ensemble (orange range) is constructed from blended surface temperature (ocean regions) and surface air tem-
perature (land regions) data from the models, masked where observations are not available in the GISTEMP data-
set.27 The importance of using blended model data is shown in Richardson et al.42 The thick solid orange curve 
is the model ensemble mean, formed from the ensemble across 36 models of the individual model ensemble 
means. The shaded region shows the +/- two standard deviation range of the individual ensemble member annual 
means from the 36 CMIP5 models. The dashed lines show the range from maximum to minimum values for each 
year among these ensemble members. The sources for the three observational indices are: HadCRUT4.5 (red): 
http://www.metoffice.gov.uk/hadobs/hadcrut4/data/current/download.html; NOAA (black): https://www.ncdc.noaa.
gov/monitoring-references/faq/anomalies.php; and GISTEMP (blue): https://data.giss.nasa.gov/pub/gistemp/gis-
temp1200_ERSSTv4.nc. (NOAA and HadCRUT4 downloaded on Feb. 15, 2017; GISTEMP downloaded on Feb. 
10, 2017). (Figure source: adapted from Knutson et al. 201627).",./images/126.png
127,IHME_Policy-report_Maternal-child-health-in-America_2016.pdf,"Figure 7: Percentage of deaths due to NCDs, communicable diseases, 
and injuries among young children in 2013 in the United States",./images/127.png
139,Climate Change 2007 - Synthesis Report.pdf,"Figure 4.1. Global economic mitigation potential in 2030 estimated from bottom-up (Panel a) and top-down (Panel b) studies, compared with the projected
emissions increases from SRES scenarios relative to year 2000 GHG emissions of 40.8 GtCO2-eq (Panel c). Note: GHG emissions in 2000 are exclusive of
emissions of decay of above-ground biomass that remains after logging and deforestation and from peat fires and drained peat soils, to ensure consistency
with the SRES emissions results. {WGIII Figures SPM.4, SPM.5a, SPM.5b}",./images/139.png
140,SRREN_Full_Report-1.pdf,"Figure 7.22 | Fleet-wide average capacity factors for a large sample of wind power plants in the USA from 1999 to 2009 (Wiser and Bolinger, 2010). ",./images/140.png
142,ar4_wg3_full_report-1.pdf,"Figure 3.9: Comparison of various long-term scenario studies for CO2 emissions. Left panel: IPCC SRES, EMF-21 range (grey area), indicating the range of the lowest and 
highest reported values in the EMF-21 study (Weyant et al., 2006). Right panel: Webster et al. (2002) and Richels et al. (2004), indicating the mean (markers) and 95% intervals 
of the reported ranges of these studies (for the latter, showing the 95% interval of the combined range for optimistic and pessimistic technology). ",./images/142.png
147,WGIII_TAR_full_report.pdf,"Figure 4.9: Indicative curves of costs (US$/tC, cost of US$28/tC is equivalent to US$100 per tonne of CO2) of emission reduc-
tion or carbon sequestration by level of total reduction. The curves display how comparable options vary in costs between world
regions. However, costs per option are also reported to vary widely at comparable total levels of reduction. This is mainly
because cost studies have not been carried out in the same way. In some options net monetary profit may occur as well (i.e., costs
may be negative as well) (Brown et al., 1996a, Hol et al., 1999; Jepma et al., 1997; Sedjo et al., 1995). ",./images/147.png
148,Climate Change 2007 - Synthesis Report.pdf,"Figure 5.1. Global CO2 emissions for 1940 to 2000 and emissions ranges for categories of stabilisation scenarios from 2000 to 2100 (left-hand panel); and
the corresponding relationship between the stabilisation target and the likely equilibrium global average temperature increase above pre-industrial (right-
hand panel). Approaching equilibrium can take several centuries, especially for scenarios with higher levels of stabilisation. Coloured shadings show
stabilisation scenarios grouped according to different targets (stabilisation category I to VI). The right-hand panel shows ranges of global average tempera-
ture change above pre-industrial, using (i) 'best estimate' climate sensitivity of 3degC (black line in middle of shaded area), (ii) upper bound of likely range of
climate sensitivity of 4.5degC (red line at top of shaded area) (iii) lower bound of likely range of climate sensitivity of 2degC (blue line at bottom of shaded area).
Black dashed lines in the left panel give the emissions range of recent baseline scenarios published since the SRES (2000). Emissions ranges of the
stabilisation scenarios comprise CO2-only and multigas scenarios and correspond to the 10th to 90th percentile of the full scenario distribution. Note: CO2
emissions in most models do not include emissions from decay of above ground biomass that remains after logging and deforestation, and from peat fires
and drained peat soils. {WGIII Figures SPM.7 and SPM.8}",./images/148.png
149,WGIII_TAR_full_report.pdf,"Figure 2.15: Timing when the stabilization scenarios achieve a reduction of 20% of global energy-related CO2 baseline emis-
sions, compared across stabilization targets as well as baselines. Slanted lines join scenarios quantified by the same model.",./images/149.png
151,Climate Change 2001 Synthesis Report.pdf,"Figure 5-3: Stabilizing CO2 emissions at current levels will result in a continously rising atmospheric
CO2 concentration and temperature. Stabilization of atmospheric CO2 and temperature change will eventually require the emissions to drop well below current levels. In all three panels the red curves illustrate the result of emissions held constant at the
level prescribed by the WRE 550 profile for the year 2000 (which is slightly higher than the actual emissions for the year 2000), while the blue
curves are the result of emissions following the WRE 550 stabilization profile. Both cases are illustrative only: Constant global emissions are
unrealistic in the short term, and no preference is expressed for the WRE 550 profile over others. Other stabilization profiles are illustrated in
Figure 6-1. Figure 5-3 was constructed using the models described in WGI TAR Chapters 3 & 9.",./images/151.png
152,SRREN_Full_Report-1.pdf,"Figure 1.3 | Left panel: Projected increase in primary energy supply. Comparison of 153 SRES and pre-SRES baseline energy scenarios in the literature compared with the 133 more 
recent, post-SRES scenarios. The ranges are comparable, with small changes in the lower and upper boundaries. Right panel: Expected carbon intensity changes. Historical development 
and projections from SRES and pre-SRES scenarios compared to post-SRES scenarios. Adapted from Fisher et al., 2007, pp. 183 and 184.",./images/152.png
157,"2007 Impact, adaption.pdf","Figure 1.4. (a) Differences between the mean onset of spring (days) in Europe for the 10 years with the highest (1990, 1882, 1928, 1903, 1993,
1910, 1880, 1997, 1989, 1992) and the lowest (1969, 1936, 1900, 1996, 1960, 1932, 1886, 1924, 1941, 1895) NAO winter and spring index
(November to March) drawn from the period 1879 to 1998. After Menzel et al. (2005b). (b) Anomalies of different phenological phases in Germany
(mean spring passage of birds at Helgoland, North Sea; mean egg-laying of pied flycatcher in Northern Germany; national mean onset of leaf
unfolding of common horse-chestnut (Aesculus hippocastanum) and silver birch (Betula pendula) (negative = earlier)), anomalies of mean spring air
temperature T (HadCRUT3v) and North Atlantic Oscillation index (NAO) (http://www.cru.uea.ac.uk/cru/data/). Updated after Walther et al. (2002).",./images/157.png
161,https://drive.google.com/file/d/10nPf3bjcz_4JhMjpFH1iUF29QkW8s5Yl/view?usp=drive_link,"Cross-Chapter Box 12, Figure 1 | Stylized reduced risk levels due to avoided impacts between 2°C and 1.5°C warming (in solid red-orange), additional
avoided impacts with adaptation under 2°C (striped orange) and under 1.5°C (striped yellow), and unavoidable impacts (losses) with no or very limited
potential for adaptation (grey), extracted from the AR5 WGII risk tables (Field et al., 2014), and underlying chapters by Adger et al. (2014) and Olsson et al.
(2014). For some systems and sectors (A), achieving 1.5°C could reduce risks to low (with adaptation) from very high (without adaptation) and high (with
adaptation) under 2°C. For other areas (C), no or very limited adaptation potential is anticipated, suggesting limits, with the same risks for 1.5°C and 2°C.
Other risks are projected to be medium under 2°C with further potential for reduction, especially with adaptation, to very low levels (B).",./images/161.png
165,Prospective_Country_Evaluation_DRC_annual_report_2019.pdf,"Figure 13. Model estimates of incidence, prevalence and mortality, 2000-2017. ",./images/165.png
173,WGII_TAR_full_report-2.pdf,"Figure 10-1: Rainfall fluctuations, 1901-1998, expressed as
regionally averaged standard deviation (departure from long-
term mean divided by standard deviation) for the Sahel.",./images/173.png
174,SRREN_Full_Report-1.pdf,"Figure TS.10.7 | Mitigation costs from the RECIPE project under varying assumptions regarding technology availability for a long-term stabilization level of 450 ppmv CO2. Option
values of technologies in terms of consumption losses for scenarios in which the option indicated is foregone (CCS) or limited to baseline levels (all other technologies) for the periods
a) 2005 to 2030 and b) 2005 to 2100. Option values are calculated as differences in consumption losses for a scenario in which the use of certain technologies is limited with respect
to the baseline scenario. Note that for WITCH, the generic backstop technology was assumed to be unavailable in the ‘fi x RE’ scenario. [Figure 10.12]",./images/174.png
175,Guatemala_PCE_annual_country_report_2019_English.pdf,"Figure 24. Comparison of expenditure rates for programs of malaria, HIV and TB, 2015 -2017 ",./images/175.png
181,Research for Universal Health Coverage 2013.pdf,fig 310 projected changes in per capita public health expenditure associated with ageing in five european countries 20102060,./images/181.png
182,SRREN_Full_Report-1.pdf,"Figure 7.10 | Annual wind power capacity additions by region (Data source: GWEC, 2010a).",./images/182.png
183,WGI_TAR_full_report.pdf,"Figure 9.22: Time-series of the zonally integrated Atlantic mass transport stream function at 30degN and 1500 m depth, close to the maximum of the
stream function simulated by the (a) ECHAM3/LSG model and the (b) GFDL_R15_b model. For a description of the experiments see Table 9.5.",./images/183.png
184,SR15_Chapter_3_LR.pdf,"Figure 3.10 | Probability ratio (PR) of exceeding (heavy precipitation) thresholds. (a) PR of exceeding the 99th (blue) and 99.9th (red) percentile of pre-industrial daily 
precipitation at a given warming level, averaged across land (from Fischer and Knutti, 2015). (b) PR for precipitation extremes (RX1day) for different event probabilities (with RV 
indicating return values) in the current climate (1degC of global warming). Shading shows the interquartile (25-75%) range (from Kharin et al., 2018).",./images/184.png
186,SYR_AR5_FINAL_full.pdf,"Figure 1.5 | Annual global anthropogenic carbon dioxide (CO2) emissions (gigatonne of CO2-equivalent per year, GtCO2/yr) from fossil fuel combustion, cement production and 
flaring, and forestry and other land use (FOLU), 1750-2011. Cumulative emissions and their uncertainties are shown as bars and whiskers, respectively, on the right-hand side. The 
global effects of the accumulation of methane (CH4) and nitrous oxide (N2O) emissions are shown in Figure 1.3. Greenhouse gas emission data from 1970 to 2010 are shown in 
Figure 1.6. {modified from WGI Figure TS.4 and WGIII Figure TS.2}",./images/186.png
187,2007 The Physical Science Basis.pdf,"Figure 3.38. Annual probability distribution functions for temperature indices for 202 global stations with at 
least 80% complete data between 1901 and 2003 for three time periods: 1901 to 1950 (black), 1951 to 1978 
(blue) and 1979 to 2003 (red). The x-axis represents the percentage of time during the year when the indicators 
were below the 10th percentile for cold nights (left) or above the 90th percentile for warm nights (right). From 
Alexander et al. (2006).",./images/187.png
188,ar4_wg3_full_report-1.pdf,"Figure 3.14: Total black carbon (left panel) and organic carbon (right panel) emission estimates in scenarios from different studies. 
Notes: Rao et al., (2005) include emissions from contained combustion only. Liousse et al. (2005), A2 not included as 2100 value of 100 Tg lies way above range.",./images/188.png
189,WGI_TAR_full_report.pdf,"Figure 13.5: Spatial pattern of differences (future climate minus baseline) in simulated corn yields based on two different climate change
scenarios for the region covering north-west Iowa and surrounding states (a) coarse spatial resolution GCM scenario (CSIRO); (b) high spatial
resolution region climate model scenario (RegCM) (modified from Mearns et al., 1999).",./images/189.png
191,WGIII_TAR_full_report.pdf,Figure 3.3: Total net resource flows to aid recipient countries.,./images/191.png
194,"2007 Impact, adaption.pdf","Figure 2.3. Idealised version of a coping range showing the relationship between climate change and threshold exceedance, and how adaptation
can establish a new critical threshold, reducing vulnerability to climate change (modified from Jones and Mearns, 2005).",./images/194.png
196,SYR_AR5_FINAL_full.pdf,"Figure 1.8 | Decomposition of the change in total annual carbon dioxide (CO2) emissions from fossil fuel combustion by decade and four driving factors: population, income (gross 
domestic product, GDP) per capita, energy intensity of GDP and carbon intensity of energy. The bar segments show the changes associated with each individual factor, holding the 
respective other factors constant. Total emission changes are indicated by a triangle. The change in emissions over each decade is measured in gigatonnes of CO2 per year (GtCO2/yr); 
income is converted into common units, using purchasing power parities. {WGIII SPM.3}",./images/196.png
197,Fourth National Climate Assessment  Volume I.pdf,"Figure A.1: Annual global (80°S–80°N) mean time series of tropospheric temperature for five recent datasets (see
below). Each time series is adjusted so the mean value for the first three years is zero. This accentuates the differences
in the long-term changes between the datasets. (Figure source: Remote Sensing Systems).",./images/197.png
198,Prospective_Country_Evaluation_DRC_annual_report_2019.pdf,"Figure 14. Reported program data of deaths per 100,000 cases, maternal deaths per 
100,000 cases and year-over-year change in number of cases. ",./images/198.png
200,WGIII_TAR_full_report.pdf,"Figure 3.2: World CO2 emissions by region, 1971 - 1998.",./images/200.png
203,SYR_AR5_FINAL_full.pdf,"Figure 7-5 | Summary of projected changes in crop yields, due to climate change over the 21st century. The figure includes projections for different emission scenarios, for 
tropical and temperate regions, and for adaptation and no-adaptation cases combined. Relatively few studies have considered impacts on cropping systems for scenarios where 
global mean temperatures increase by 4degC or more. For five timeframes in the near-term and long-term, data (n=1090) are plotted in the 20-year period on the horizontal axis 
that includes the midpoint of each future projection period. Changes in crop yields are relative to late-20th-century levels. Data for each timeframe sum to 100%. Projections 
taken from Abraha and Savage, 2006; Alexandrov and Hoogenboom, 2000; Arndt et al., 2011; Berg et al., 2013; Brassard and Singh, 2008; Brassard and Singh, 2007; Butt et al., 
2005; Calzadilla et al., 2009; Chhetri et al., 2010; Ciscar et al., 2011; Deryng et al., 2011; Giannakopoulos et al., 2009; Hermans et al., 2010; Iqbal et al., 2011; Izaurralde et al, 
2005; Kim et al., 2010; Lal, 2011; Li et al., 2011; Lobell et al., 2008; Moriondo et al., 2010; Muller et al., 2010; Osborne et al., 2013; Peltonen-Sainio et al., 2011; Piao et al., 
2010; Ringler et al., 2010; Rowhanji et al., 2011; Schlenker and Roberts, 2009; Shuang-He et al., 2011; Southworth et al., 2000; Tan et al., 2010; Tao & Zhang, 2010; Tao and 
Zhang, 2011; Tao et al., 2009; Thornton et al., 2009; Thornton et al., 2010; Thornton et al., 2011; Tingem and Rivington, 2009; Tingem et al., 2008; Walker and Schulze, 2008; 
Wang et al., 2011; Xiong et al., 2007; Xiong et al., 2009.",./images/203.png
207,SR15_Chapter_2_LR.pdf,"Figure 2.11 | Land-use changes in 2050 and 2100 in the illustrative 1.5°C-consistent pathway archetypes (Fricko et al., 2017; Fujimori, 2017; Kriegler et
al., 2017; Grubler et al., 2018; Rogelj et al., 2018). Changes in land for food crops, energy crops, forest, pasture and other natural land are shown, compared to 2010.",./images/207.png
208,WGIIAR5-PartA_FINAL.pdf,"Figure 7-6 | Projected percentage change in coefficient of variation (CV) of yield for
wheat (Tao and Zhang, 2011a; Challinor et al., 2010), maize (Tao et al., 2009b; Urban
et al., 2012), rice (Tao and Zhang, 2013), and C4 crops (arid and non-arid, Berg et al.,
2013). The data from Urban et al. (2012) show the range (mean plus and minus one
standard deviation) of percentage changes in CV. For the Challinor et al. (2010) data,
paired CV changes were not available, so the box shows changes in the mean CV, the
mean CV plus one standard deviation, and the mean CV minus one standard
deviation. All other studies plot individual data points. A total of 81 data points are
plotted in the figure, although the underlying data consist of many thousands of crop
model simulations. The studies used a range of scenarios (Special Report on Emissions
Scenarios (SRES) A1B, A2, A1FI, and B1). Berg et al. (2013) is a global study of the
tropics, Urban et al. (2012) is for US maize, and the remaining data points are for
China.",./images/208.png
213,ar4_wg3_full_report-1.pdf,"Figure 3.20: Relationship between required cumulative emissions reduction and carbon emissions in the baseline by 2030 (left-hand panel) and 2100 (right-hand panel). 
Notes: Coloured rectangles denote individual scenarios for alternative stabilization targets (categories I to VI). The large triangles indicate the averages for each 
category. ",./images/213.png
214,Prospective_Country_Evaluation_DRC_annual_report_2019.pdf,"Figure 1. Landscape of malaria funding in DRC, 2010-2016 ",./images/214.png
217,WGIII_TAR_full_report.pdf,"Figure 4.6: Cumulative carbon changes for a scenario involving afforestation and harvest. These are net changes in that, for
example, the diagram shows savings in fossil fuel emissions with respect to an alternative scenario that uses fossil fuels and alter-
native, more energy-intensive products to provide the same services (adapted from Marland and Schlamadinger, 1999).",./images/217.png
220,CARBON DIOXIDE CAPTURE AND STORAGE.pdf,"Figure 6.15 Estimated volume of pH perturbations at global scale for hypothetical examples in which injection of CO2 into the ocean interior 
provides 100% or 10% of the mitigation effort needed to move from a logistic emissions curve cumulatively releasing 18,000 GtCO2 (=5000 
GtC) to emissions consistent with atmospheric CO2 stabilization at 550 ppm according to the WRE550 pathway (Wigley et al., 1996). The curves 
show the simulated fraction of ocean volume with a pH reduction greater than the amount shown on the horizontal axis. For the 10% case, in year 
2100, injection rates are high and about1% of the ocean volume has significant pH reductions; in year 2300, injection rates are low, but previously 
injected CO2 has decreased ocean pH by about 0.1 unit below the value produced by a WRE550 atmospheric CO2 pathway in the absence of CO2 
release directly to the ocean (Caldeira and Wickett, 2005).",./images/220.png
227,2007 The Physical Science Basis.pdf,"Figure 10.1. Several steps from emissions to climate response contribute to the overall uncertainty of a climate model projection. These uncertainties can be quantifi ed 
through a combined effort of observation, process understanding, a hierarchy of climate models, and ensemble simulations. In a comprehensive climate model, physical and 
chemical representations of processes permit a consistent quantifi cation of uncertainty. Note that the uncertainty associated with the future emission path is of an entirely dif-
ferent nature and not addressed in Chapter 10. Bottom row adapted from Figure 10.26, A1B scenario, for illustration only.",./images/227.png
232,CARBON DIOXIDE CAPTURE AND STORAGE.pdf,"Figure 5.8 Simulation of 50 years of injection of CO2 into the base of a saline formation. Capillary forces trap CO2 in the pore spaces of 
sedimentary rocks. (a) After the 50-year injection period, most CO2 is still mobile, driven upwards by buoyancy forces. (b) After 1000 years, 
buoyancy-driven flow has expanded the volume affected by CO2 and much is trapped as residual CO2 saturation or dissolved in brine (not shown). 
Little CO2 is mobile and all CO2 is contained within the aquifer (after Kumar et al., 2005).",./images/232.png
233,WGII_TAR_full_report-2.pdf,"Figure 5-4: Change in the mean air temperature during the
egg laying time period of the Pied Flycatcher. Regression line
is y = -5.5 + 0.14 x (P<0.7).",./images/233.png
234,Fourth National Climate Assessment  Volume I.pdf,"Figure 14.2: Global CO2 emissions and probabilistic temperature outcomes of government announcements associ-
ated with the lead up to the Paris climate conference. (a) Global CO2 emissions from energy and industry (includes 
CO2 emissions from all fossil fuel production and use and industrial processes such as cement manufacture that also 
produce CO2 as a byproduct) for emissions pathways following no policy, current policy, meeting the governments' an-
nouncements with constant country decarbonization rates past 2030, and meeting the governments' announcements 
with higher rates of decarbonization past 2030. INDCs refer to Intended Nationally Determined Contributions which is 
the term used for the governments' announced actions in the lead up to Paris. (b) Likelihoods of different levels of in-
crease in global mean surface temperature during the 21st century relative to preindustrial levels for the four scenarios. 
Although (a) shows only CO2 emissions from energy and industry, temperature outcomes are based on the full suite 
of GHG, aerosol, and short-lived species emissions across the full set of human activities and physical Earth systems. 
(Figure source: Fawcett et al. 201527). ",./images/234.png
