image_id,interpretability_rating_phd_res1,interpretability_rating_phd_res2,interpretability_rating_u_res1,interpretability_rating_u_res2,mean_rating
869,2.0,1.0,3,3,2.25
882,2.0,5.0,4,3,3.5
898,2.0,1.0,2,5,2.5
904,4.0,3.0,4,5,4.0
909,3.0,3.0,1,4,2.75
920,3.0,1.0,5,5,3.5
937,2.0,4.0,5,4,3.75
950,2.0,3.0,1,1,1.75
994,3.0,4.0,5,5,4.25
998,2.0,3.0,2,5,3.0
999,4.0,4.0,5,5,4.5
1006,2.0,2.0,4,2,2.5
1011,1.0,1.0,3,5,2.5
1044,2.0,5.0,4,5,4.0
1068,1.0,1.0,1,1,1.0
1081,2.0,4.0,5,5,4.0
1087,4.0,1.0,1,4,2.5
1100,3.0,4.0,2,2,2.75
1112,1.0,2.0,2,1,1.5
1143,5.0,1.0,3,2,2.75
1146,3.0,4.0,1,4,3.0
1153,2.0,1.0,2,4,2.25
1177,4.0,2.0,1,1,2.0
1178,4.0,3.0,1,2,2.5
1192,2.0,3.0,1,5,2.75
1205,3.0,3.0,1,2,2.25
1206,3.0,4.0,2,5,3.5
1214,3.0,3.0,4,4,3.5
1215,2.0,2.0,3,5,3.0
1225,4.0,2.0,1,1,2.0
1232,2.0,5.0,1,1,2.25
1246,4.0,2.0,1,1,2.0
1251,3.0,3.0,5,5,4.0
1277,4.0,2.0,5,4,3.75
1285,4.0,1.0,5,5,3.75
1294,2.0,4.0,1,1,2.0
1295,4.0,1.0,5,5,3.75
1301,3.0,3.0,4,4,3.5
1303,4.0,2.0,5,5,4.0
1326,1.0,2.0,1,1,1.25
1388,4.0,4.0,4,5,4.25
2364,4.0,2.0,2,3,2.75
1400,3.0,3.0,2,1,2.25
1428,2.0,1.0,4,4,2.75
1439,2.0,2.0,3,5,3.0
1453,2.0,3.0,4,5,3.5
1465,2.0,2.0,4,4,3.0
1499,3.0,4.0,4,5,4.0
1503,2.0,2.0,4,4,3.0
1510,3.0,3.0,2,5,3.25
1519,2.0,3.0,4,5,3.5
1576,2.0,2.0,1,1,1.5
1581,2.0,4.0,3,3,3.0
1601,5.0,5.0,5,5,5.0
1615,3.0,4.0,2,4,3.25
1626,3.0,2.0,4,5,3.5
1633,4.0,4.0,2,4,3.5
1659,3.0,2.0,2,1,2.0
1697,3.0,2.0,4,4,3.25
1711,3.0,3.0,5,4,3.75
1712,3.0,4.0,5,5,4.25
1715,2.0,3.0,4,5,3.5
1718,2.0,2.0,4,3,2.75
1726,2.0,5.0,4,5,4.0
1748,3.0,1.0,2,4,2.5
1750,1.0,2.0,2,5,2.5
1751,2.0,2.0,1,4,2.25
1755,3.0,3.0,4,5,3.75
1757,3.0,3.0,4,5,3.75
1761,2.0,4.0,5,5,4.0
1777,3.0,2.0,4,5,3.5
1779,5.0,4.0,5,5,4.75
1790,2.0,4.0,4,4,3.5
1802,2.0,2.0,2,4,2.5
1803,5.0,4.0,5,5,4.75
1818,5.0,5.0,5,5,5.0
1821,4.0,4.0,1,2,2.75
1838,2.0,3.0,2,5,3.0
1839,5.0,4.0,5,5,4.75
1861,2.0,3.0,4,5,3.5
1874,4.0,4.0,4,5,4.25
1894,2.0,2.0,4,5,3.25
1911,3.0,4.0,2,4,3.25
1915,5.0,4.0,4,4,4.25
1917,2.0,3.0,2,3,2.5
1925,5.0,5.0,4,4,4.5
1945,2.0,3.0,5,4,3.5
1946,2.0,3.0,1,4,2.5
1947,3.0,3.0,4,5,3.75
1953,5.0,2.0,1,4,3.0
1963,2.0,3.0,1,4,2.5
1979,2.0,3.0,4,5,3.5
2007,2.0,2.0,1,5,2.5
2008,4.0,5.0,1,4,3.5
2016,2.0,3.0,4,4,3.25
2018,3.0,3.0,4,3,3.25
2025,2.0,2.0,2,1,1.75
2049,2.0,2.0,4,4,3.0
2050,5.0,2.0,2,4,3.25
2052,3.0,2.0,1,1,1.75
2054,2.0,4.0,4,5,3.75
2060,1.0,3.0,4,5,3.25
2061,1.0,3.0,4,4,3.0
2062,2.0,3.0,5,5,3.75
2064,1.0,4.0,2,2,2.25
2065,5.0,3.0,5,5,4.5
2071,2.0,3.0,4,4,3.25
2074,2.0,1.0,2,3,2.0
2103,2.0,1.0,2,1,1.5
2105,2.0,2.0,2,5,2.75
2117,3.0,1.0,3,4,2.75
2124,2.0,3.0,5,5,3.75
2125,2.0,3.0,2,5,3.0
2138,2.0,3.0,2,2,2.25
2141,4.0,2.0,3,4,3.25
2152,2.0,3.0,2,5,3.0
2163,3.0,4.0,4,4,3.75
2194,2.0,1.0,2,5,2.5
2211,3.0,3.0,2,2,2.5
2213,2.0,3.0,4,5,3.5
2215,2.0,4.0,2,4,3.0
2218,1.0,1.0,5,4,2.75
2220,1.0,4.0,4,3,3.0
2223,4.0,4.0,4,4,4.0
2251,2.0,3.0,1,1,1.75
1749,2.0,2.0,4,4,3.0
2253,1.0,3.0,4,4,3.0
2254,3.0,2.0,2,4,2.75
2262,2.0,2.0,2,4,2.5
2271,2.0,3.0,4,5,3.5
2276,1.0,4.0,2,4,2.75
2289,1.0,5.0,5,5,4.0
2293,3.0,2.0,4,3,3.0
2300,2.0,4.0,2,5,3.25
2327,1.0,4.0,2,4,2.75
2348,1.0,3.0,3,2,2.25
2354,1.0,3.0,4,4,3.0
2356,5.0,4.0,4,4,4.25
2357,2.0,4.0,4,5,3.75
2360,2.0,4.0,5,4,3.75
1845,2.0,4.0,4,4,3.5
1949,2.0,2.0,2,2,2.0
2028,3.0,4.0,3,4,3.5
