reason_id,image_id,rating,reason,usefulness,cluster
176,1821,2,The caption can be improved to explain the context and,neutral,1
177,1946,4,"The caption is good ,",neutral,0
178,1953,4,"The caption is okay ,",neutral,0
179,1963,4,"The caption is good ,",neutral,0
181,2008,4,the caption is good .,neutral,0
185,2060,4,The caption and,neutral,1
186,2064,3,"The caption attempts to explain the graph ,",neutral,4
187,2117,5,the caption can explain the trend better .,neutral,4
188,2163,2,"The caption is good ,",neutral,0
189,2253,4,"The caption is good ,",neutral,0
196,1503,4,the caption,neutral,1
3,196,4,"The caption is lengthy ,",neutral,1
15,572,4,"Large caption ,",neutral,1
21,790,4,Large caption,neutral,1
49,112,4,"I need to read the caption twice to understand the visualization fully ,",neutral,4
56,447,1,The caption seems fine,neutral,0
58,492,3,The caption is a bit lengthy,neutral,1
59,547,4,The caption is a bit large .,neutral,1
67,904,4,Caption can be improved,neutral,1
69,1044,4,Caption can be improved,neutral,1
80,1726,4,The caption can be a bit small,neutral,1
111,220,3,"The caption is lengthy ,",neutral,1
114,494,2,caption look cluttered to me,neutral,1
115,754,4,The caption can be improved,neutral,0
121,152,3,also the caption is a bit lengthy .,neutral,1
122,188,5,captions are precise and,neutral,1
125,292,5,caption are clear,neutral,1
126,413,4,"The caption seems fine ,",neutral,0
134,1100,3,Caption is too big,neutral,1
141,1633,4,Caption can be bit smaller,neutral,1
145,1802,4,The caption can be improved,neutral,0
151,2254,3,Caption can be shortened,neutral,1
157,2194,2,The caption should be short,neutral,1
159,2252,3,Caption can be improved,neutral,1
160,242,1,The caption is lengthy ( but,neutral,1
172,1294,2,large caption,neutral,1
180,2007,2,large caption,neutral,1
199,2211,3,Caption can be improved,neutral,1
4,203,4,I think citations in the captions are not necessary,neutral,4
7,2360,5,Caption augments with chart,neutral,2
26,994,4,Caption summarize the chart,neutral,2
30,1277,4,require caption just to read the y - axis label,neutral,4
34,1601,5,caption augments with chart,neutral,2
42,1839,5,Caption summarizes the chart,neutral,2
48,2218,1,The label says -20 % but,neutral,3
65,828,3,caption,neutral,1
69,1044,5,caption summarize the chart,neutral,2
74,1499,5,Easy to understand caption not required,neutral,1
80,1726,5,Labels are clearly mentioned and,neutral,4
81,1755,5,than reading through entire caption,neutral,1
99,2138,5,Caption summarizes the chart,neutral,2
100,2141,5,Caption summarize the chart,neutral,2
105,2357,4,Caption summarize the chart,neutral,2
106,2213,4,Caption summarizes the chart,neutral,2
109,2251,5,Caption summarizes the charts,neutral,2
111,220,4,Caption summarize the chart,neutral,2
119,1439,5,Caption explain the chart,neutral,2
150,2125,5,Caption augments charts,neutral,2
154,2300,5,The captions summarize the charts,neutral,2
158,2215,4,Caption and,neutral,1
166,1177,5,caption summarize the chart,neutral,2
169,1205,5,Caption augment chart,neutral,2
177,1946,5,Caption summarize trends in chart,neutral,2
181,2008,5,Caption summarize trends in charts,neutral,2
182,2018,4,not the comparison between them,neutral,3
187,2117,5,The caption and,neutral,1
