reason_id,image_id,rating,reason,chart,caption,both
76,1295,5,The chart shows the time series of the global annual ocean with color-code lines for different categories. The caption provides detailed context explaining the CI and data source. The clear labels from the average time periods help in understanding the main trend.,The chart shows the time series of the global annual ocean with color-code lines for different categories The clear labels from the average time periods help in understanding the main trend The chart shows the time series of the global annual ocean with color-code lines for different categories data source The clear labels from the average time periods help in understanding the main trend,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,
77,1295,5,Both are easy to understand.,,,Both are easy to understand
78,1295,1,"The chart does mention the error region, but it is not clear about the range of the confidence interval or why is it kept with different colors","The chart does mention the error region, it is not clear about the range of the confidence interval or why is it kept with different colors",,
79,1303,5,The captions explains the main trend and the graph is easy to interpret.,the graph is easy to interpret,The captions explains the main trend and the graph is easy to interpret The captions explains the main trend,
80,1303,5,Both are easy to understand.,,,Both are easy to understand
81,1303,2,There is no clear takeaway that can be infered from the caption and also from the chart,,,There is no clear takeaway that can be infered from the caption and also from the chart
82,1601,5,Easy to read the labels and compare the pH levels.,Easy to read the labels and compare the pH levels Easy to read the labels compare the pH levels,,
83,1601,5,Both are easy to understand.,,,Both are easy to understand
84,1601,5,caption augments with chart,,caption augments with chart,
85,1711,5,"Easy to compare the categories
",Easy to compare the categories,,
86,1711,4,"The caption can better by explaining the trend, and the graph labels are small.",the graph labels are small,"The caption can better by explaining the trend,",
87,1711,3,The caption does not fully cover the main trend from the charts. but both charts and captions require some effort to get some message,both charts,captions require some effort to get some message,The caption does not fully cover the main trend from the charts
88,1712,5,Easy to see the heat content changing.,Easy to see the heat content changing,,
89,1712,5,Both are easy to understand.,,,Both are easy to understand
90,1712,4,"Caption provides useful context about the data and methodology, it is somewhat dense and does not clearly summarize the main takeaway.",,"Caption provides useful context about the data and methodology, it is somewhat dense and does not clearly summarize the main takeaway.",
91,1761,5,Easy to compare categories and read the labels.,Easy to compare categories and read the labels Easy to compare categories read the labels,,
92,1761,5,Both are easy to understand.,,,Both are easy to understand
93,1761,4,"Though the caption clearly explains about the what is being measured and how the data compiled, but it does not clearly summarize the main takeaway or highlight the important trends.",,"Though the caption clearly explains about the what is being measured and how the data compiled, but it does not clearly summarize the main takeaway or highlight the important trends.",
94,1779,5,The chart shows the comparison between the simulations and observations. Each panel is well laid out and labeled so it is easy to compare the scenarios. The chart's caption is long but includes an overview of the data.,The chart shows the comparison between the simulations and observations Each panel is well laid out and labeled so it is easy to compare the scenarios The chart shows the comparison between the simulations observations Each panel is well laid out labeled so it is easy to compare the scenarios includes an overview of the data,The chart's caption is long but includes an overview of the data,The chart's caption is long
95,1779,5,"Both are easy to understand, the model's shadow shows the differences well.",the model's shadow shows the differences well,,"Both are easy to understand, "
96,1779,4,"The visualization is clear, but caption does not fully capture the summary of the chart","The visualization is clear,",caption does not fully capture the summary of the chart,
97,1803,5,"Despite a lot of elements, the chart shows the main trend with using different colors and symbols to help differentiate between data clearly. ","Despite a lot of elements, the chart shows the main trend with using different colors and symbols to help differentiate between data clearly Despite a lot of elements, the chart shows the main trend with using different colors symbols to help differentiate between data clearly",,
98,1803,5,Both are easy to understand.,,,Both are easy to understand
99,1803,4,"The horizontal bar chart is clear with error bars. And the caption provides details about the terms and data, but does not fully give the main takeaway",The horizontal bar chart is clear with error bars,"the caption provides details about the terms and data, but does not fully give the main takeaway",
100,1818,5,"Clear takeaway with detailed context, making it easy to interpret. ",,"Clear takeaway with detailed context, making it easy to interpret",
101,1818,5,"Both are easy to understand, and the trend is clear.",,,"Both are easy to understand, the trend is clear"
102,1818,5,Easy takeaway,,,Easy takeaway
103,1839,5,"The scatter plot shows the relationship between the x and y axis. The line of best fit clearly shows the trend. The caption also provides detailed context about the source data.
Clear representation makes it easy to interpret. ",The scatter plot shows the relationship between the x and y axis The line of best fit clearly shows the trend. Clear representation makes it easy to interpret The scatter plot shows the relationship between the x y axis The line of best fit clearly shows the trend Clear representation makes it easy to interpret,The caption also provides detailed context about the source data,
104,1839,5,Both are easy to interpret.,,,Both are easy to interpret
105,1839,4,"The axis are well labeled, and the use of colors make it more interpretable. Caption represent some details but not fully summarize the trend","The axis are well labeled, and the use of colors make it more interpretable. ",Caption represent some details but not fully summarize the trend,
106,1945,5,Easy to compare the categories and analyze the potential for CO2 reduction across different regions.,Easy to compare the categories and analyze the potential for CO2 reduction across different regions Easy to compare the categories analyze the potential for CO2 reduction across different regions,,
107,1945,4,"Both are understandable, but the caption should include more context for the situation and trend.",,the caption should include more context for the situation and trend.,Both are understandable
108,1945,3,"The chart is interpretable, but the caption can be more informative and also express trends in the chart",The chart is interpretable,the caption can be more informative and also express trends in the chart,
109,2062,5,"Easy to compare categories and the use of colors to represent data makes it easier to compare them. Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway.",Easy to compare categories and the use of colors to represent data makes it easier to compare them Easy to compare categories the use of colors to represent data makes it easier to compare them,"Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway",
110,2062,5,Both are pretty easy to understand.,,,Both are pretty easy to understand
111,2062,3,"Chart have many terms and abbreviations, even though caption does mention the terms it does not mention any takeaway message",Chart have many terms and abbreviations,caption does mention the terms it does not mention any takeaway message,
112,2065,5,"The use of 2 box plots to show the two scenarios makes it easy compare them. Furthermore, the chart includes two different time periods and multiple technologies. While this adds complexity, it also provides a good overview of the data. ","The use of 2 box plots to show the two scenarios makes it easy compare them. Furthermore, the chart includes two different time periods and multiple technologies While this adds complexity, it also provides a good overview of the data The use of 2 box plots to show the two scenarios makes it easy compare them Furthermore, the chart includes two different time periods multiple technologies While this adds complexity, it also provides a good overview of the data",,
113,2065,5,Both are pretty easy to understand.,,,Both are pretty easy to understand
114,2065,3,"The chart is easy to understand, but the main takeaway is clearly not mentioned in both chart and caption.",The chart is easy to understand,,the main takeaway is clearly not mentioned in both chart and caption.
115,2124,5,Easy to compare the categories and see the main trend.,Easy to compare the categories and see the main trend Easy to compare the categories see the main trend,,
116,2124,5,Both are easy to understand.,,,Both are easy to understand
117,2124,3,"The chart have some trends, but not sure which trend to look at, and caption does not seem to provide a clear explanations","The chart have some trends, not sure which trend to look at,",caption does not seem to provide a clear explanations,
118,2218,5,Easy to compare the categories and see the main trends.,Easy to compare the categories and see the main trends Easy to compare the categories see the main trends,,
119,2218,4,"Both are understandable, but the graph labels are unclear.",the graph labels are unclear,,
120,2218,1,The label says -20% but it is confusing in the chart,The label says -20% it is confusing in the chart,,
121,112,4,The design and clarity can be improved. Clear takeaway was not given,The design and clarity can be improved. The design clarity can be improved,Clear takeaway was not given,
122,112,2,Difficult to understand the trends,Difficult to understand the trends,,
123,112,3,The caption does not explain any trends observed in the charts,,The caption does not explain any trends observed in the charts,
124,126,4,Caption doesn't fully summarize the main trends.,,Caption doesn't fully summarize the main trends,
125,126,3,"The graphs are easy to understand, but the captions are very long-winded. ","The graphs are easy to understand,",the captions are very long-winded,
126,126,3,Different color are used to represent in different charts for the same label. And also the axis scale is different.,Different color are used to represent in different charts for the same label And also the axis scale is different,,
127,304,4,The chart provides useful information to understand the data.,The chart provides useful information to understand the data,,
128,304,3,"The caption is very wordy, and the labels are hard to read on the graph.",the labels are hard to read on the graph,"The caption is very wordy,",
129,304,3,Difficult to read labels,Difficult to read labels,,
130,317,4,"The caption provides details information about the chart. 
Colors and labels are used effectively to convey the main takeaway.
",Colors and labels are used effectively to convey the main takeaway Colors labels are used effectively to convey the main takeaway,The caption provides details information about the chart,
131,317,5,The graph is well made and easy to understand.,The graph is well made easy to understand,,
132,317,3,"The caption only explains about the labels inside the chart, but it is not clearly stating the trend and what should be interpreted.",,"The caption only explains about the labels inside the chart, but it is not clearly stating the trend and what should be interpreted.",
133,330,4,Clear visual representation with a detailed caption,,,Clear visual representation with a detailed caption
134,330,5,The graphs are easy to understand.,The graphs are easy to understand,,
135,330,3,"The chart a caption does not explain clearly the takeaway, chart b caption has mentioned the takeaway",,"The chart a caption does not explain clearly the takeaway, chart b caption has mentioned the takeaway",
136,380,4,"The caption is detailed, but does not provide the clear takeaway",does not provide the clear takeaway,"The caption is detailed, but does not provide the clear takeaway The caption is detailed,",
137,380,3,The graph labels are hard to read.,The graph labels are hard to read,,
138,380,3,The caption does not summarize chart main trend,,The caption does not summarize chart main trend,
139,433,4,"No legend included, the caption explains what the different lines mean along with providing detailed information. ",No legend included,the caption explains what the different lines mean along with providing detailed information,"No legend included, the caption explains what the different lines mean along with providing detailed information"
140,433,5,The graph and the caption are easy to understand.,The graph is easy to understand,the caption are easy to understand,
141,433,3,"The caption provides an explanation about the lines, but does not clearly explain the comparison between the trends.",,"The caption provides an explanation about the lines, but does not clearly explain the comparison between the trends.",
142,447,4,Detailed caption but the caption does not clear summarize the main takeaway.,,Detailed caption but the caption does not clear summarize the main takeaway Detailed caption the caption does not clear summarize the main takeaway,
143,447,5,Both easy to understand.,,,Both easy to understand
144,447,3,The labels are not clear and not represented in caption,The labels are not clear,The labels are not explained in caption,
145,491,4,"- Caption provides a good explanation for what the dots mean
- The use of labels helps in understanding the main takeaways",The use of labels helps in understanding the main takeaways,"Caption provides a good explanation for what the dots mean - Caption provides a good explanation for what the dots mean
- The use of labels helps in understanding the main takeaways",
146,491,5,Both are easy to understand.,,,Both are easy to understand
147,491,5,Easy to compare categories,Easy to compare categories,,
148,492,4,Easy to interpret with use of labels and detailed caption,Easy to interpret with use of labels,detailed caption,
149,492,4,"Caption is very wordy, but graph is understandable. ",graph is understandable,"Caption is very wordy,",
150,492,4,"The chart and caption clearly explain the labels used, but caption is lost in translation",The chart clearly explains the labels,"caption clearly explain the labels used, caption is lost in translation",
151,614,4,It is difficult to grasp the key points since there are too many words on the chart.,It is difficult to grasp the key points since there are too many words on the chart,,
152,614,3,"The caption explains the situation, but the graph is very wordy and hard to read.",the graph is very wordy hard to read,"The caption explains the situation,",
153,614,5,clear takeaway,,,clear takeaway
154,639,4,The caption provides the main takeaways while the chart uses color coding to help understand the caption,the chart uses color coding to help understand the caption,The caption provides the main takeaways,The caption provides the main takeaways while the chart uses color coding to help understand the caption
155,639,5,Both are easy to understand.,,,Both are easy to understand
156,639,4,Easy to compare,Easy to compare,,
157,643,4,"Too many categories are present in the chart, but they are well organized and labeled. 
The different bars in the chart are not easy to comprehend without reading the captions ","Too many categories are present in the chart, but they are well organized and labeled Too many categories are present in the chart, they are well organized labeled",The different bars in the chart are not easy to comprehend without reading the captions,
158,643,3,The graph is hard to understand.,The graph is hard to understand,,
159,643,3,Difficult to understand and caption do not summarize main trend.,Difficult to understand,caption do not summarize main trend,
160,658,4,"Clear representation with a clear break down of cost and efficiency improvements. 
The format of this chart is not the standard ",Clear representation with a clear break down of cost and efficiency improvements The format of this chart is not the standard Clear representation with a clear break down of cost efficiency improvements The format of this chart is not the standard,,
161,658,5,The graph is very well made.,The graph is very well made,,
162,658,4,less caption is given,,less caption is given,
163,736,4,Informative caption but complex data requires interpretation,complex data requires interpretation,Informative caption but complex data requires interpretation Informative caption,
164,736,4,"The caption describes the graphs well, but the graphs a little unclear and hard to read. ",the graphs a little unclear hard to read,"The caption describes the graphs well,",
165,736,4,"The chart and caption capture the trend, but the chart is little complex to understand","The chart capture the trend, but the chart is little complex to understand","caption capture the trend,",
166,828,4,Overlapping lines makes it difficult to interpret. But the annual mean is shown which helps. Informative caption.,Overlapping lines makes it difficult to interpret But the annual mean is shown which helps Overlapping lines makes it difficult to interpret But the annual mean is shown which helps,Informative caption,
167,828,1,"The caption doesn't explain what the different colors mean, and doesn't explain the trend. It is extremely hard to differentiate the colors on the graph, and we don't know what each color represents.  ","It is extremely hard to differentiate the colors on the graph, we don't know what each color represents","The caption doesn't explain what the different colors mean, and doesn't explain the trend. ",
168,828,3,No proper labeling is stated in chart and caption,No proper labeling is stated in chart,caption does not explain missing labels,
169,839,4,Clear visualization that shows temperature changes. Clear takeaway,Clear visualization that shows temperature changes,,Clear takeaway
170,839,5,Both are easy to interpret.,,,Both are easy to interpret
171,839,2,Fluctuations are not clearly mentioned in the caption,,Fluctuations are not clearly mentioned in the caption,
172,904,4,"Detailed caption, chart has different curves representing different depths and locations. The x-axis and y-axis are clear, and the captions helps with the interpretation. No legend is present.","chart has different curves representing different depths and locations. The x-axis and y-axis are clear, and the captions helps with the interpretation. No legend is present. locations The x-axis y-axis are clear, No legend is present",Detailed caption. the captions helps with the interpretation. the captions helps with the interpretation,
173,904,5,Both are easy to understand.,,,Both are easy to understand
174,904,3,caption does not summarize main trend,,caption does not summarize main trend,
175,1006,4,Clear context with color-coded regions but multiple lines make the chart somewhat complex.,Clear context with color-coded regions but multiple lines make the chart somewhat complex multiple lines make the chart somewhat complex,Clear context with color-coded regions,
176,1006,2,"The caption should explain the trend better, and the graph is very hard to read and tell the difference between the many labels. ",the graph is very hard to read tell the difference between the many labels,"The caption should explain the trend better,",
177,1006,2,labels are not clear,labels are not clear,,
178,1044,4,"Too many lines and shaded regions makes the chart more complicated, but the detailed information in the caption helps.","Too many lines and shaded regions makes the chart more complicated, Too many lines shaded regions makes the chart more complicated,",the detailed information in the caption helps,
179,1044,5,"Both are easy to understand, and the colors are clear on the graph.",the colors are clear on the graph,,"Both are easy to understand, "
180,1044,5,caption summarize the chart,,caption summarize the chart,
181,1301,4,"The chart includes various components represent by different patterns and colors. The caption provided is extensive, which is informative but it adds to the complexity. Furthermore, the blue/grey shaded areas add additional visual elements.","The chart includes various components represent by different patterns and colors Furthermore, the blue/grey shaded areas add additional visual elements The chart includes various components represent by different patterns colors it adds to the complexity Furthermore, the blue/grey shaded areas add additional visual elements","The caption provided is extensive, which is informative but it adds to the complexity The caption provided is extensive, which is informative",
182,1301,4,"The graph and caption are good, but some labels are small. ",The graph some labels are small,"caption are good,",
183,1301,3,"The caption is not required, because caption tells to look in the chart explanations for more details",,"The caption is not required, because caption tells to look in the chart explanations for more details",
184,1388,4,Clear explanation in the caption and the graph has a zoomed in graph inside it making it easier to interpret the information given.,the graph has a zoomed in graph inside it making it easier to interpret the information given,Clear explanation in the caption,
185,1388,5,Both are pretty easy to understand.,,,Both are pretty easy to understand
186,1388,4,"Caption mentions about the chart and trend, but it can improved with more adding in more details and highlighting the takeaway message",,"Caption mentions about the chart and trend, but it can improved with more adding in more details and highlighting the takeaway message",
187,1428,4,"The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns. The caption provides enough information to interpret the graph.  The use of multiple sources makes the chart somewhat clutters, but it is interpretable. ","The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns. The use of multiple sources makes the chart somewhat clutters, but it is interpretable The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns The use of multiple sources makes the chart somewhat clutters, it is interpretable",The caption provides enough information to interpret the graph,
188,1428,4,"Both are okay, but the graph labels are a little small and the caption can explain the trend better.","Both are okay, the graph labels are a little small",the caption can explain the trend better,
189,1428,1,"The caption does not have any information only references, and bars inside the chart is little confusing",bars inside the chart is little confusing,"The caption does not have any information only references,",
190,1453,4,The chart conveys the main takeaway but the multiple components and no legend for the different symbols and colors found in the chart make it a little hard to interpret.,The chart conveys the main takeaway but the multiple components and no legend for the different symbols and colors found in the chart make it a little hard to interpret The chart conveys the main takeaway the multiple components no legend for the different symbols colors found in the chart make it a little hard to interpret,,
191,1453,5,Both are pretty easy to understand.,,,Both are pretty easy to understand
192,1453,3,"The chart and caption mentions about different lines, but no straight forward takeaway",The chart no straight forward takeaway,"caption mentions about different lines, but no straight forward takeaway",
193,1499,4,The caption summarizes the key trend and the graph includes a legend and it is somewhat easy to understand the errors bars. This visualization effectively shows the differences between the categories.,the graph includes a legend and it is somewhat easy to understand the errors bars. the graph includes a legend it is somewhat easy to understand the errors bars This visualization effectively shows the differences between the categories,The caption summarizes the key trend,
194,1499,5,Both are easy to interpret.,,,Both are easy to interpret
195,1499,4,"The black lines are not fully mentioned in chart or caption, but could be infered as error lines",The black lines are not fully mentioned in chart but could be infered as error lines,"The black lines are not fully mentioned in caption, but could be infered as error lines",
196,1519,4,Clear representation with detailed information about the key trend making it somewhat interpretable.,Clear representation with detailed information about the key trend making it somewhat interpretable,,
197,1519,5,Both are good and easy to interpret.,,,Both are good easy to interpret
198,1519,3,"The caption does provide detailed context about the data sources and methods, but does not clearly summarize the main takeaway or highlight the key trend.",,"The caption does provide detailed context about the data sources and methods, but does not clearly summarize the main takeaway or highlight the key trend.",
199,1626,4,"Clear representation with some complexity, no legend is present in the graph, making it somewhat interpretable. You can see the overall trend by looking at the regression line and the r^2. ","Clear representation with some complexity, no legend is present in the graph, making it somewhat interpretable You can see the overall trend by looking at the regression line and the r^2 Clear representation with some complexity, no legend is present in the graph, making it somewhat interpretable You can see the overall trend by looking at the regression line the r^2",,
200,1626,5,Both are easy to understand.,,,Both are easy to understand
201,1626,2,The labels are not mentioned in the chart,The labels are not mentioned in the chart,,
202,1697,4,Somewhat easy to compare the categories,Somewhat easy to compare the categories,,
203,1697,4,"The caption explains the graph pretty well, but some of the labels are blurry on the graph.",some of the labels are blurry on the graph,"The caption explains the graph pretty well,",
204,1697,2,labels are not clearly mentioned for the first chart,labels are not clearly mentioned for the first chart,,
205,1715,4,Multiple panels and detailed context add complexity making it somewhat confusing.,Multiple panels and detailed context add complexity making it somewhat confusing Multiple panels,detailed context add complexity making it somewhat confusing,
206,1715,5,"Both are easy to understand, but the caption can be better at explaining the context.",,the caption can be better at explaining the context,"Both are easy to understand,"
207,1715,3,The chart contains multiple ranges which is confusing in the first glance. The caption does not clearly summarize the main trend,The chart contains multiple ranges which is confusing in the first glance,The caption does not clearly summarize the main trend,
208,1718,4,"Clear representation with consistent color coding, making it somewhat interpretable ","Clear representation with consistent color coding, making it somewhat interpretable",,
209,1718,3,"The graph is kind of confusing with the red and blue, and the different year labels. The caption should be improved to explain the trend and context.","The graph is kind of confusing with the red blue, the different year labels",The caption should be improved to explain the trend context,
210,1718,2,"The caption does not summarize main trend, because it says current report but 2050 year is colored in blue which is previous report",,"The caption does not summarize main trend, because it says current report but 2050 year is colored in blue which is previous report",
211,1726,4,Detailed caption but the multiple elements make it somewhat interpretable,the multiple elements make it somewhat interpretable,Detailed caption,
212,1726,5,Both are easy to understand.,,,Both are easy to understand
213,1726,5,Labels are clearly mentioned and easy to understand,Labels are clearly mentioned easy to understand,,
214,1755,4,The graph is easy to understand and the caption provides thorough information about each panel which is informative.,The graph is easy to understand,the caption provides thorough information about each panel which is informative,
215,1755,5,"Both are easy to understand, but the graph should have a title.",the graph should have a title,,
