semantic_level,sentence
1,A horizontal bar chart entitled “China leads in government support for innovation” that plots percentage agreement with the statement “Government drives most innovation” by Country.
1,Country is plotted on the vertical y-axis.
1,The percentage agreement is plotted on the horizontal x-axis.
2,35% of people in China agree that their government drives most of their innovation.
2,This is more than in any other country.
4,"In Asian countries, more people agree that the government drives innovation, though it is still a small percentage for some."
4,Countries in areas of the world other than Asia disagree more that their government drives innovation.
4,European countries seem to have the least agreement with the statement that their government drives innovation.
2,More people in China agree with the statement than do people in the US.
2,People in Germany agree with the statement the least.
2,People in South Korea agree second only to China.
4,Eastern countries seems to have a higher percentage of agreement with the statement.
3,"All countries do not agree very strongly with the statement, even China."
3,Only 5 countries have 10% or more agreement.
2,The average of agreement is very low.
4,People in Asia tend to agree more that their countries are supportive of innovation than do people from Western countries and Europe.
4,Asian countries seem to have higher agreement with innovation being more driven with government support.
4,"In the lowest end, European and South American countries don't agree that Innovation is driven by government support."
4,Oceania and African countries lies between in terms of the agreement with the statement.
4,Asian countries and Australia have better government support than the north-american and european countries.
4,"This data may be biased, since governments like China are not a democracy, and can alter the perception of their people as they please, so 35% agreement is not a confident statement."
2,China is the highest in support for government innovation while Germany is the lowest.
4,The graph implies that Asian countries are more likely to have high levels of support for innovation by the government.
3,There is a very sharp drop of government support for innovation between China and Germany.
4,China leads in government support for innovation is mostly recognized in asian countries.
3,The highest support countries is still pretty low (35% of agreement with the statement).
4,Countries listed that are on the Asian continent agree the most with the idea that government drives most innovation.
3,Countries listed from all other continents have less than 10% in agreement.
4,"The headline says that China has the most government support for innovation, but this is not what the data says: the data only says that people agree with this statement."
1,A horizontal bar chart entitled “The most emoji-crazed countries” that plots the percentage of Comments with an emoji by Country.
1,The Country is plotted on the vertical y-axis.
1,The Comments with an emoji is plotted on the horizontal x-axis by percentage.
4,Europeans use emojis more than people from other continents.
2,Finland uses nearly twice as many emojis as Korea.
4,"The only African representative is Tanzania, which uses the least emojis."
4,Brazil is the only South American country to make the chart with 37% commenting with an emoji.
4,Many European countries use the a lot of emojis possibly due to the nature of multiple languages being present in the continent: emojis a great way to ensure the receiver knows the intent and mood being conveyed in the message.
4,"Women tend to use emojis more than men, so possibly these countries have a higher number of women texting compared to the latter half."
2,"The countries that use the fewest emojis are North American, East Asian and South American."
4,This could be due to texts being generally short or possibly the use of more acronyms such as LOL or ILY so they may replace emojis with those.
4,Europe is the continent most likely to use emojis.
4,Europeans have more vacation time allotted to them than North Americans.
4,Perhaps this is in relation to work leisure balance.
4,Europeans are also more likely to speak multiple languages and perhaps have social media friends in a language they do not speak.
4,Using an emoji would result in more universal communications.
4,"Australia and Brazil, and Russia and Italy has the rate of emoji use even when having a very different population levels."
4,"Korea and Tanzania have just 10 million less population than, for example, Italy, yet they are on the bottom of the list, and this could mean that it doesnt matter how much big in population a country is but also how banned chats and message applications are, countries with more liberty tend to use more emojis."
4,European countries use more comments with emojis than the rest of the world.
3,Very few countries have emojis in over 50% of comments.
2,"We can see that Finland is by far the most ""emoji-crazed"" country."
3,"Then, the countries that followed Finland, have not very wide differences in the percentage between them."
2,"However, the least ""emoji-crazed"" country, Tanzania, has a huge difference in percentage in comparison with Finland (10% versus 63%)."
1,A horizontal bar chart entitled “The most emoji-crazed countries” that plots the percentage of Comments with an emoji by Country.
2,Finland is the country that most frequently uses emojis in their comments.
4,This emoji is a popular emoji.
4,Countries with high levels of technology are able to use this emoji frequently.
4,European countries seem to frequently use this emoji.
4,The lowest country is the only African country.
2,Brazil and Australia have the same amounts of comments with emojis.
3,"Tanzania is the biggest outlier, with less than 1/3 emoji use than Korea, the next up on the list."
3,"Similarly, list-topper Finland uses emojis by quite a large margin of 13% compared to the next down on the list."
3,"The rest of the list is much more even, with only 18 percentage points between the second highest and second lowest."
4,"Emojis are generally more popular in Europe than the rest of the world, with the top seven countries listed all being in Europe, with the exception of Russia which is partly in Europe and partly in Asia."
2,The most emoji crazed country is Finland with 63% comments with emojis.
2,The least emoji crazed country is Korea with 10% comments with emojis.
4,"Finland is the happiest country in the world, meaning their society's wellbeing is high, meaning more people can afford phones and use emojis."
4,Tanzania is a third world country and not many can afford a phone.
1,We can see a graph of the most emoji-crazed countries.
2,The countries are sorted from highest percentage to the lowest.
4,The research has been done of the hands up emoji and the statistic has been based on it.
2,The first country is Finland leading with 63%.
2,"It is followed by France, UK, Germany, Italy and Russia."
3,We can see that Increase is no more than 2-5 on Average.
2,Tanzania is 53% behind Finland which indicates this emoji is not so often used.
4,The more advanced the country is the higher the percentage of emoji use is.
1,A horizontal bar chart entitled “Countries ranked by Netflix download speeds” that plots Average download speed during prime viewing hours by Country.
1,Country is plotted on the vertical y-axis.
1,The Average during prime viewing hours is plotted on the horizontal x-axis.
2,Belgium has the highest Netflix download speeds during prime time.
2,Costa Rica has the lowest Netflix download speeds during prime time.
2,Denmark and Sweden have the same Netflix download speeds during prime time at 2.89.
2,Chile and Mexico has the same Netflix download speeds during prime time at 2.61.
4,"Belgium has the highest Netflix download speeds out of a group of 28 countries (some western, some hispanic, and some asian/african for example)."
2,"Belgium's download speed is 4.15 Mbps , second place is Luxembourg at 4.11 Mbps, and thirdly is Netherlands at 4.02 Mbps."
4,"Some of the fastest download speeds, during prime viewing hours, belong to solely European countries such as Denmark, Sweden, Norway, Switzerland, Germany, etc."
2,"The United States is at 15th place with 3.26 Mbps download speed, unlike the slowest county, Costa Rica, at 1.83 Mbps."
4,"Latin American countries exhibit much lower download speeds most likely due to poor government funding, massive poverty, lack of resources, etc."
4,"Size of the country is not a key factor in estimating results since USA, UK, and Australia aren't top 3."
4,Resources and poverty though are major factors.
2,"Belgium, Luxembourg, and the Netherlands have the most Netflix download speeds in peak hours, averaging about 4 Mbps, while Jamaica, Ecuador, and Costa Rica have the lowest Netflix download speeds at peak hours, averaging about 2 Mbps."
4,European countries have the fastest Netflix download speed.
4,"It's visible that in richer countries, people benefit from faster downloads than those who live in countries with inferior per capita incomes."
4,European countries top the chart.
4,American countries fill up the bottom places.
3,The three lowest download speed averages are below half the value of Belgium.
4,All European countries show a minimum of 3 Mbps in their respective averages.
4,Both Canada and the US are the only countries in America that surpass the 3 Mbps barrier.
2,"The lowest download speed average is from Costa Rica, at 1.83 Mbps."
2,The horizontal bar chart shows that Belgium has the best download speed of any country on the graph with 4.15mbps.
2,Belgium has the highest download speed with 4.15mbps compared to Costa Rica with the lowest at 1.83mbps.
4,There is a clear distinction between economically rich and poor countries: the richer countries have higher download speed on average than the poorer and less developed countries (such as Ecuador and Jamaica).
4,Northern European countries on the whole had the fastest download speeds.
4,Nothern-American and European countries have better downloading speed than South-American and Latin countries.
2,Belgium has the highest download speed.
4,South America has got the lowest download speed.
4,European countries tend to have the best download speed.
2,Belgium has the most fasted download speeds.
4,European countries generally have faster download speeds.
4,South American countries has slowest download speeds.
2,Belgium has the fastest Netflix download speed.
2,Costa Rica has the slowest Netflix download speed.
4,Countries in Europe have a faster Netflix download speed.
4,Countries in South America have a slower Netflix download speed.
4,Countries in North America and Oceania have an average Netflix download speed.
4,The slow Netflix download speed in South America might be related to bad or old Internet infrastructures.
2,Belgium has fastest Netflix download speed is 4.15 Mbps.
2,Costa Rica has the slowest Netflix download speed at 1.83 Mbps.
2,The average Netflix download speed is around 3 Mbps.
1,A horizontal bar chart entitled “US adult average daily media consumption” that plots the Hours of usage per day by media type.
1,The media type is plotted on the vertical y-axis.
1,The Hours of usage per day is plotted on the horizontal x-axis.
2,US adults use TV much more than other media devices.
4,Radio is still at second place even with the coming of smartphones.
4,"US adults almost never use their Apple watches, maybe because they are not fitness people and they don't like to exercise."
2,The difference between the hours spent on the TV and the hours spent on other devices is very large.
3,The hours on the TV are more than the sum of the hours on every other device.
4,"US adults spend very little time on their tablets and PCs, but this is surprising because lots of people probably work using a PC."
2,The highest media consumption for US adults is the TV.
2,The lowest media consumption for US adults is the Apple Watch.
2,There is no media consumption for US adults on the Apple Watch.
2,Adults in US spend more time consuming media content on TV.
2,US adults spends little or no hours consuming media on Apple watch.
3,Radio is considered as an alternative to TV in media consumption by US adults.
3,There is a large variation in how US adults consumes media.
2,"Most US adults consume media on TV, followed by Radio, then Smartphone, then PC, then Tabelt, and finally the Apple Watch."
2,The TV has the highest amount of usage a day.
2,Apple Watch receives the lowest amount of usage a day.
2,PC and tablet receive a similar amount of usage a day.
4,"I assume that this is an older graph or that the sample was on the older side, as I would assume younger people used their smartphones more than 1 hour a day and listen to the radio less."
2,"On average, US adults do not use an Apple watch."
3,"Taken together, the average US adult uses different media roughly 9-10 hours a day."
4,No smartwatches other than the Apple watch were evaluated.
2,"I can observe that TV had the most hours of usage of all in the daily average of media consumption, followed by Radio, Smartphone, PC, Tablet, and Apple Watch."
2,TV is the most used media in USA.
2,"PC, Tablet and Apple Watch are the least used ones."
2,"US adults don't use Apple Watches, at least not on a daily basis."
4,"TV continues to be the most popular form of media consumption, even with the rise of mobile and home computer technology."
2,"TV is 2.5 times as popular as its nearest competitor, the radio."
2,"The Apple Watch gets the least amount of usage, with no usage at all shown."
4,"This is likely because people use smartwatches for activities other than consuming media, while for much of the other tech it is the primary use - indeed, the sole use of TVs and radios, which are much more passive forms of consumption by their nature."
2,"TV as a media type is higher than other media types, followed by the radio, and then the smartphones, down to Apple Watch which is 0 and is the lowest."
2,TV is by far the most popular media past time.
4,"Considering that radio is the second most popular media consumption format, it is possible that Americans prefer media that they can listen to rather than rely on reading."
1,A vertical bar chart entitled “How do pill purchase patterns vary by buyer business types?” with a subtitle “Number of transactions made by buyers in each of the three categories below across 2006-2014”.
1,The Number of Records is plotted on the vertical y-axis from 0 to 1500.
1,"The Year is plotted on the horizontal x-axis from 2006 to 2014, for each business type: Practitioners (red), Retail Pharmacies (yellow), and Chain Pharmacies (green)."
2,Practitioners purchased an average much lower number of pills than Retail Pharmacies or Chain Pharmacies.
3,"Both Retail Pharmacies and Chain Pharmacies have raised their purchases from 2006-2013, but have lowered the number a little by 2014."
3,"Retail Pharmacies and Chain Pharmacies have had a very similar development in their purchases, while Practitioners' is very different."
3,Practitioners had lowered their purchases by 2008 and then raised them abruptly by 2014.
3,"Practitioners have raised a lot their purchases throughout the years, while the other two maintained about the same amount."
2,Over the years the Practitioners transaction rates varied a lot.
2,The Retail and Chain Pharmacies had a somewhat consistent transaction rates.
2,In 2008 the practitioners had a very low number of transactions.
2,Over the years the Chain and Retail Pharmacies buyers had a similar levels of transactions.
2,The year 2014 had the highest transaction period among all buyers.
2,"Retail Pharmacies and Chain Pharmacies have mostly linear pill purchase patterns, while Practitioners vary widely."
2,"The Practitioner's lowest number of transactions has been 2008, while the highest point was 2014."
3,The Practitioner's pill purchase pattern was highly varying while Retail Pharmacies and Chain Pharmacies are mostly stable.
3,Retail Pharmacies and Chain Pharmacies have a similar graphical trend.
3,"Retail Pharmacies and Chain Pharmacies both have a gradual, increasing trend."
3,Practitioners have a large spike in between 2010 and 2011.
3,Practitioners didn't transact as much as the other two before the year 2012.
3,There is a considerable amount of variation between the years 2006 and 2010 for the transactions of Practitioners.
3,There is a clear preference in where people buy their prescriptions towards Retail and Chain pharmacies.
2,There is a smaller amount of people who are getting their prescriptions from Practitioners.
3,There is little difference in preference between Retail and Chain Pharmacies.
3,"Retail and Chain Pharmacies have a similar grow and curve, the climb maintains until 2013, in 2014 they had a declining line registering less records than the previous year."
3,"Practitioners has it's own curve with some ups and downs, less consistent, starting to consistent grow in 2009 Until 2014."
2,Practitioners also registered the highest Number of records of all three in 2014.
3,Chain pharmacies have had a relatively stable number of pill transactions from 2008-2014 noticing a small increase (10-20) every year apart from a small (10-20) decrease in 2014.
3,Retail pharmacies have had a relatively stable number of pill transactions from 2008-2014 noticing a small increase (10-20)  every year apart from a small (10-20) decrease in 2014.
3,Practitioners have had a relatively stable number of pill transactions from 2006-2010 noticing small (30-60) to medium (100-150) increases and decreases during that time.
3,Practitioners noticed a large increase in pill transactions in the years 2011(from 800 to 1200 pills) and 2012 (from 1200 to 1400) and stabilized in the years 2013 and 2014.
3,While retail and chain pharmacies both had a drop in pill transactions in 2014 Practitioners even had a small increase.
3,The Practitioners growth is very unsteady.
2,Practitioners did not buy as many pills in 2008.
2,Practitioners bought the most pills in 2014.
2,Retail pharmacies bought the most pills in 2013.
2,Retail pharmacies bought the least amount of pills in 2006.
2,Chain pharmacies bought the most pills in 2013.
2,Chain pharmacies bought the least amount of pills in 2006 after 2013.
2,Chain and Retail pharmacies experienced a drop in 2014.
3,"The biggest growth of transactions belongs to Practitioners, doubling up twice in 8 years (750 records in 2006, to 1450 in 2014)."
2,In 2006 Practitioners had the lowest number transactions than the other two.
2,In 2010 to 2011 Practitioners had a 400 gain of transactions.
3,"Retail and Chain Pharmacies have a similar, steady growth."
2,"However, the number of records have declined for both of them in 2014."
4,That means Practitioners are becoming more popular than Retail and Chain Pharmacies.
2,The Practitioners seem to have both the lowest and the highest number of records.
3,"Both the Retail pharmacies and the Chain pharmacies have an increase in amount of records up until 2014, where it goes down by a bit."
3,The Practitioners number of records throughout the years is the most irregular.
3,"From what I can observe, it seems like both the Retail and Chain pharmacies have a constant and regular amount of records."
1,A vertical bar chart entitled “COVID-19 mortality rate by age” that plots the mortality rate by age.
1,The mortality rate is plotted on the vertical y-axis from 0 to 15%.
1,"Age is plotted on the horizontal x-axis in bins: 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+."
2,"Between the ages of 10 and 39, you are only within 0.2% mortality rage for COVID-19."
3,"Between 40 to 49 years old, it doubles to 0.4%."
3,"Between the ages of 50 to 59, it basically triples to 1.3%."
2,"After that between 60-69, we're seeing a 3.6% mortality rate."
2,"Between 70-79, there's an 8% mortality rate."
3,"Once you hit 80+, it's at a whopping 14.8%."
4,"This still does not compare to the mortality rate of something that's even more common like heart disease/heart failure that can climb between 15-50%, even coronary heart disease with, which according to google, one-third of all deaths in subjects over age 35."
4,"I don't know what the mortality rate of that is, but it sure is a lot more people than COVID-19."
2,"The highest COVID-19 mortality rate is in the 80+ age range, while the lowest mortality rate is in 10-19, 20-29, 30-39, sharing the same result."
3,COVID-19 mortality rate does not linearly correspond to the demographic age.
4,We can observe that the mortality rate is higher starting at 50 years old due to many complications prior.
3,"As we decrease the age, we also decrease the values in mortality by a lot, almost to none."
3,By looking at the graph one can state that under 50 years of age the mortality associated to COVID-19 is really low and slightly increases between the age of 50 and 60.
3,"Mortality starts to increase and become significant after the age of 60, becoming really serious after 80 years of age."
3,It's safe to state that mortality rates and age are directly proportional.
3,People above 50 years old are at least three times more likely to die from COVID-19 than people younger than 50.
3,People more than 80 years old and the most vulnerable population.
3,People more than 80 years old are almost twice as likely to die than any other group.
3,"Among Chinese people, mortality rate increases with age."
3,"All age categories of those under 40 have a mortality rate of 0.2% but this doubles in the forties age-group, and thereafter increases markedly with each decade of age."
3,"The mortality rate increases with age, especially around 40-49 years and upwards."
4,This relates to the decrease of immunity and the increase of co-morbidity with age.
3,The mortality rate increases exponentially with older people.
2,There is no difference in the mortality rate in the range between the age of 10 and 39.
2,The range of ages between 60 and 80+ are more affected by COVID-19.
3,"The chart clearly shows that the greater the age, the greater the death rate of COVID-19, while people over 80 experience the highest mortality rate."
1,A grouped bar chart that slows Classification accuracy (%) on the Training set and Test set by Parameter configuration.
1,The Classification accuracy (%) is plotted on the vertical y-axis from 65 to 90.
1,"The Parameter configuration is plotted on the horizontal x-axis for the following configurations: C, N, V, C+N, C+V, N+V, C+N+V."
2,"We can see that C+N+V has the higher accuracy, meanwhile C has the lowest accuracy."
3,In every representation the training set's bar has the higher accuracy compared to test set's bar.
2,"From highest to lowest for training set's bar we have: C+N+V, C+N, N+V, C+V, N, V, C. From highest to lowest for test set's bar we have:  C+N+V, C+N, N+V, C+V, N, C, V."
3,In general seems that the training set gives better results than the test set.
3,The result of adding C+N is quite better than the result of them alone.
3,"The same happens with C+V, the performance is a little better but not that much."
3,"Otherwise, N+V is really better than the result from them alone."
3,The overall of C+N+V is better than any of them alone.
3,"Single configurations induce less accuracy, the result is a lower classification %."
3,"When configurations are grouped in 2, the classification accuracy increases, When all the configurations are combined into one, the highest classification is obtained."
3,Training sets are always more accurate.
3,Test sets are always less accurate.
2,The biggest gap between test and training is in the C+V combination.
2,"N, V and C+N have the lowest gap between test and training."
3,Training set accuracy is always greater than test set accuracy.
3,"Combining individual parameters (in twos, or threes) is always more accurate than any individual parameter."
2,The accuracy is higher for the training set.
2,The accuracy is lower for the test set.
2,The configuration C+N+V has the highest accuracy in both sets.
2,The configuration V has the lowest accuracy in the training set.
2,The configuration C has the lowest accuracy in the test set.
3,In all the configurations the training set has a higher classification accuracy than the test set.
3,The more elements we add to the configuration the higher the classification accuracy becomes.
2,The configuration with the highest accuracy is C+N+V.
3,"The Test sets are generally slightly lower than Training sets, for any parameter configuration."
2,There is no lower than 69% accuracy in any set with any parameter.
2,The greatest difference between Training and Test sets is when only parameter C is applied.
3,Parameter N seems to hold most accurate classification than the other parameters uncombined.
3,The combined configurations are the sum of the corresponding parameters as shown in the graph.
3,"Though, the graph does not show accuracies below 65%, so if one considers the accuracy starting at 0%, the combined parameters do not really showcase a sum."
3,"More like, they show as sum of accuracies above 65%."
3,The test results are routinely lower than the trining results.
3,"When C, N, and V work together their scores are comparatively higher"
3,The classification accuracy rate is consistently higher for the training set than the test set.
2,The parameter configurations that produce the highest classification accuracy rates are C+N and C+N+V.
2,The parameter configurations that produce the lowest classification accuracy rates are C and V.
3,The classification accuracy percentage of the test set tends to be lower than the training set one.
3,Both sets (test set and training set) classification accuracy percentages have a tendency to increase in relation to x-axis from left to right.
3,The classification accuracy percentage tends to be higher in pair parameter configurations than the single ones.
3,Trio parameter configuration C+N+V has the highest classification accuracy percentage in both sets.
3,The classification accuracy percentage of the parameter configurations that includes N tends to be higher than the ones that don't have N.
1,"A vertical bar chart entitled “Legal definition of an alcoholic beverage (% pure alcohol by volume), as reported by countries, 2008."
1,The Number of countries is plotted on the vertical y-axis from 0 to 80.
1,"The Minimum alcohol content is plotted on the horizontal x-axis for the following groups: <1, 1-1.99, 2-2.99, 3-3.99, 4-4.99, 5<=, and None."
2,There are many more countries who have None minimum percentage of alcohol to define alcoholic a beverage.
3,"Minimum percentage of alcohol is usually very low, below 1%."
3,"In any case where there is a definition for alcoholic beverage, it is below 5%."
3,The lowest minimum percentage considered to be alcoholic is lower than 1% of alcohol in the beverage.
2,There seems to be no country who set this limit between 4 and 4.99%.
2,Around  68 countries have not decided what the minimum alcohol content would be to identify as an alcoholic beverage.
2,"Secondly, around 42 countries believe <1 % alcohol content qualifies as an alcoholic beverage."
2,15 countries believed 1-1.99% alcohol content meant it was an adult only drink.
2,10 countries believed 2-2.99% qualified as an alcoholic beverage.
4,"Last but not least, around 3 countries believed that 3-3.99 qualified as an alcoholic beverage, which is surprising considering that some people can become intoxicated from beers with 2% alcohol content."
4,This could mean that a child might be drinking a 2.5% alcohol drink and the parents might not be concerned over their child's cognitive development?
4,"Even more alarming is that most countries don't have a specific, enforceable standard, and this could potentially allow private companies to get away with selling alcoholic drinks as non-alcoholic."
4,"This can happen with fermented drinks, which can sometimes be purchased without showing an ID."
2,"The mode of the distribution is ""None"" Most countries who have a definition have it to less than 1% alcohol content."
2,No country defines it by 4-4.99%.
3,"Around half the countries have ""None"" as a definition."
2,Most countries consider no minimum alcohol content for the legal definition of alcoholic beverages.
3,"We can notice by comparing the size of the None column and the addition of the other columns that on average, half of the countries in the world don't have a legal definition of an alcoholic beverage."
3,Most of the countries that consider it have a percentage below 1%.
2,The other categories are in decreasing order with the exception of 5%<=.
2,"The 5%<= category is more than the 3-3,99% category but below the 2-2,99% category."
3,This suggest that the rest of countries which have an above 5% have more diverse percentage.
3,"With this graphic, we notice that most countries that have an legal definition are pretty specific about the percentage."
2,"A large number of countries - 40+ have their definition of minimum alcohol content as ""less than 1% alcohol volume"", while other countries have varied definitions such as percentage alcohol volume between 1-2, 2-3, 3-4, 4-5, for about 15, 9, 3 and 0 countries, respectively."
2,About 7 countries have a broad definition of equal to or less than 5% alcohol volume constituting an alcoholic beverage.
2,"However, 67 countries do not actually have a legal definition at all."
2,Most countries (almost 70) do not have a legal minimum content for the definition of an alcoholic beverage.
2,"For the countries that have a legal definition, slightly more than 40 have defined the <1 a the minimum alcohol content."
2,"As the concentration rises, fewer countries define an alcoholic beverage by that concentration."
2,Then again at slightly less than 5% the number of countries rises again at less than 10.
2,Most countries dont have a minimum alcohol content in definition of alcohol beverage.
2,More than 40 countries take <1 % as an alcohol beverage.
2,No country has 4-4.99% in their legal definition of alcohol beverage.
2,The most countries don't have a legal minimum of an alcohol content to consider a drink as an alcoholic beverage.
2,Over 40 countries define that an alcoholic beverage must have at least 1% of a pure alcohol.
2,"Zero countries define that an alcoholic beverage must have at least 4-4,99% of alcohol."
2,The mode of countries' do not have a definition.
2,No countries have 4-4.99 as minimum alcohol content.
3,"Of the countries that do have a definition, the most common is <1 percent which gradually decreases as the alcohol content increases."
1,A vertical bar chart entitled “Percent births delivered by C-Section by income in 2006/2007”.
1,The % of births delivered by C-section is plotted on the vertical y-axis from 0 to 25.
