reason_id,image_id,rating,reason,usefulness,feature
176,1006,2,"The caption should explain the trend better,",not_useful,Observed Pattern Not Explained
178,1044,4,the detailed information in the caption helps,useful,Detailed and Informative
180,1044,5,caption summarize the chart,neutral,"""Missing or Unclear Takeaway Message"""
181,1301,4,"The caption provided is extensive, which is informative but it adds to the complexity The caption provided is extensive, which is informative",neutral,Detailed but Overloaded with Information
182,1301,4,"caption are good,",neutral,Insufficient or Unclear Description
183,1301,3,"The caption is not required, because caption tells to look in the chart explanations for more details",useful,Insufficient or Unclear Description
184,1388,4,Clear explanation in the caption,useful,"""6. Clear and Good Quality"""
186,1388,4,"Caption mentions about the chart and trend, but it can improved with more adding in more details and highlighting the takeaway message",useful,Missing or Unclear Takeaway Message
187,1428,4,The caption provides enough information to interpret the graph,useful,"""Clear and Good Quality"""
188,1428,4,the caption can explain the trend better,useful,Observed Pattern Not Explained
189,1428,1,"The caption does not have any information only references,",not_useful,"""Insufficient or Unclear Description"""
192,1453,3,"caption mentions about different lines, but no straight forward takeaway",neutral,"""Missing or Unclear Takeaway Message"""
193,1499,4,The caption summarizes the key trend,useful,**Clear and Good Quality**
195,1499,4,"The black lines are not fully mentioned in caption, but could be infered as error lines",not_useful,Insufficient or Unclear Description
198,1519,3,"The caption does provide detailed context about the data sources and methods, but does not clearly summarize the main takeaway or highlight the key trend.",not_useful,"""Missing or Unclear Takeaway Message"""
203,1697,4,"The caption explains the graph pretty well,",neutral,Clear and Good Quality
205,1715,4,detailed context add complexity making it somewhat confusing,not_useful,**Detailed but Overloaded with Information**
206,1715,5,the caption can be better at explaining the context,neutral,Insufficient or Unclear Description
207,1715,3,The caption does not clearly summarize the main trend,not_useful,"""Missing or Unclear Takeaway Message"""
209,1718,3,The caption should be improved to explain the trend context,not_useful,Observed Pattern Not Explained
210,1718,2,"The caption does not summarize main trend, because it says current report but 2050 year is colored in blue which is previous report",not_useful,"""Observed Pattern Not Explained"""
211,1726,4,Detailed caption,neutral,Detailed and Informative
214,1755,4,the caption provides thorough information about each panel which is informative,useful,Detailed and Informative
216,1755,3,The caption is lengthy and does not clearly summarize main takeaway or maybe highlight the important trend.,not_useful,Missing or Unclear Takeaway Message
217,1757,4,chart is hard to understand without the help of the detailed context in caption it can be hard to understand without the help of the detailed context,neutral,Insufficient or Unclear Description
218,1757,5,the caption should explain the trend,not_useful,Observed Pattern Not Explained
219,1757,3,"The caption have mentioned many details, but did not clearly mention or summarize the main takeaway",not_useful,**Missing or Unclear Takeaway Message**
220,1777,4,"The caption provides thorough information about the anomalies, but it can take a while to understand the context about the takeaway The caption provides thorough information about the anomalies, it can take a while to understand the context about the takeaway",neutral,Detailed and Informative
223,1790,4,The caption provides thorough information about the scenarios and error bars The caption provides thorough information about the scenarios,useful,**Detailed and Informative**
224,1790,4,"The caption is good,",neutral,**Clear and Good Quality**
225,1790,4,The caption is dense and does not fully summarize the main takeaway.,not_useful,"""Missing or Unclear Takeaway Message"""
226,1861,4,The caption makes it easy to understand the main key takeaway,useful,Clear and Good Quality
227,1861,5,"Both are easy to understand, the caption can better explain the trend/context",neutral,"""Clear and Good Quality"""
228,1861,3,The caption is lengthy but does not fully summarize the trend,not_useful,**Missing or Unclear Takeaway Message**
229,1874,4,"the caption is long so can take a little time to  understand the context of the chart. Also, the caption is long so can take a little time to  understand the context of the chart",neutral,"""Detailed but Overloaded with Information"""
231,1874,4,the key message could be more directly stated in the caption,neutral,Missing or Unclear Takeaway Message
232,1894,4,The caption is informative and provides necessary context The caption is informative provides necessary context,useful,"""Detailed and Informative"""
236,1915,4,"The caption is straightforward,",neutral,Clear and Good Quality
237,1915,4,The caption is simple and does not fully explain the chart and also key takeaway could be stated in the caption,not_useful,Missing or Unclear Takeaway Message
238,1925,4,The caption provided is gives detailed information about the data shown in the chart,useful,Detailed and Informative
239,1925,4,"The caption is good,",neutral,Clear and Good Quality
240,1925,5,Caption summarize trends in chart,neutral,**Clear and Good Quality**
241,1947,4,"The caption provides context about the data sources, scenarios, and an explanation of the main trends. It is long and informative, but adds complexity to the interpretation. The caption provides context about the data sources, scenarios, an explanation of the main trends Despite the detailed context, the visual clarity makes the charts somewhat interpretable",useful,Detailed but Overloaded with Information
243,1947,3,There are many details in caption I did not find any clear takeaway,not_useful,"""Missing or Unclear Takeaway Message"""
244,1979,4,The caption provides more information about the chart which makes it somewhat interpretable,useful,**Missing or Unclear Takeaway Message**
246,1979,3,"caption does not contain any clear takeaway, it mentions some trends and relationships, but no clear summary",not_useful,Missing or Unclear Takeaway Message
248,2016,4,The caption needs to be improved to explain the context and trend,not_useful,**Observed Pattern Not Explained**
249,2016,3,"And caption does not seem to explain the chart clearly, and no clear takeaway is mentioned.",not_useful,Missing or Unclear Takeaway Message
250,2049,4,annotations might make it harder to interpret the small specific finding without any additional context,not_useful,Insufficient or Unclear Description
251,2049,4,"The caption is good,",neutral,Clear and Good Quality
252,2049,2,Caption does not represent any trends and also comparison between the trends are not discussed. No clear takeaway,not_useful,"""Missing or Unclear Takeaway Message"""
253,2054,4,"The caption is informative, it also has some unnecessary information that might not be needed to interpret the charts",useful,**Detailed but Overloaded with Information**
254,2054,5,the caption can be better,not_useful,Insufficient or Unclear Description
255,2054,4,"The caption does mention some trends,",neutral,Observed Pattern Not Explained
256,2061,4,require more context for full understanding,not_useful,Insufficient or Unclear Description
257,2061,4,The caption can explain the context and trend better.,neutral,"""Clear and Good Quality"""
258,2061,3,The caption does not explain about the trend observed and also the takeaway message is clearly missing.,not_useful,"""Missing or Unclear Takeaway Message"""
260,2071,4,"The caption is good,",neutral,Clear and Good Quality
261,2071,3,"The caption is lengthy and explains about the terms and about the chart, but no clear takeaway message is mentioned and also comparison between the lines are not mentioned",not_useful,"""Missing or Unclear Takeaway Message"""
263,2271,5,The captions is interpretable,neutral,Insufficient or Unclear Description
264,2271,3,"The caption does explain about the chart, but does not explain about the takeaway",not_useful,"""Missing or Unclear Takeaway Message"""
265,2356,4,detailed context,neutral,Detailed and Informative
267,2356,4,key message could be mentioned in the caption,neutral,Missing or Unclear Takeaway Message
269,2357,5,caption should explain the trend better,not_useful,Observed Pattern Not Explained
270,2357,4,Caption summarize the chart,neutral,Missing or Unclear Takeaway Message
271,2213,4,The caption provides thorough context about the data sources and the variables shown in each panel. The detailed context also might take time to interpret The caption provides thorough context about the data sources The detailed context also might take time to interpret,useful,Detailed but Overloaded with Information
273,2213,3,"The caption mentions about the calculations that are used to prepare the subcharts, but no takeaway",not_useful,"""Missing or Unclear Takeaway Message"""
274,2220,4,The caption is needed to fully make an interpretation of the chart,useful,Insufficient or Unclear Description
275,2220,3,"The caption explains the graph pretty well,",neutral,Clear and Good Quality
277,2223,4,The overall presentation is somewhat interpretable with the given context found in the caption,useful,Clear and Good Quality
279,2223,4,"The caption is lengthy and provides the methodology, but is not able to clearly summarize the main trend",not_useful,**Missing or Unclear Takeaway Message**
280,184,3,Complex caption,neutral,Insufficient or Unclear Description
281,184,4,The caption doesn't describe the trend well,not_useful,**Insufficient or Unclear Description**
282,184,2,There are many technical terms that are not fully explained in the caption. The caption does not summarize the main takeaway or important trends.,not_useful,"""Missing or Unclear Takeaway Message"""
284,220,4,The caption is very wordy and doesn't explain the trend present in the graphs.,not_useful,Observed Pattern Not Explained
285,220,4,Caption summarize the chart,neutral,Missing or Unclear Takeaway Message
286,297,3,"There is no visual clutter, the caption provides a summary of the key trends",useful,**Clear and Good Quality**
288,297,2,"caption tell about the labels used and how they are formed, but there is no mention what the intent for the chart is.",neutral,Insufficient or Unclear Description
289,407,3,The caption is detailed,neutral,Detailed and Informative
290,407,3,"The caption explains the graph,",neutral,"""Clear and Good Quality"""
292,494,3,detailed caption highlights what the chart shows,useful,Detailed and Informative
293,494,2,"The caption is very wordy, but explains the situation, ",neutral,"""Detailed and Informative"""
295,754,3,Informative caption,neutral,Detailed and Informative
298,1011,3,Detailed caption,neutral,"""Detailed and Informative"""
302,1143,2,"The different colors are explained in the caption,",neutral,Clear and Good Quality
303,1143,1,"There is no clear explanation about the comparison between the trend lines, and no takeaway can be taken from caption",not_useful,"""Missing or Unclear Takeaway Message"""
304,1215,3,"Furthermore, the caption provides detailed information about the each element but it takes time to understand",useful,Detailed and Informative
307,1439,3,"While the legend and the caption provide the needed context, the multiple data points and lines can be a little confusing to interpret at first glance the caption provide the needed context, the multiple data points",useful,Insufficient or Unclear Description
308,1439,5,the caption can be better,not_useful,Insufficient or Unclear Description
309,1439,2,The comparison between the lines are not clearly mentioned in the caption,not_useful,Insufficient or Unclear Description
310,213,2,Caption does not fully summarize the main points,not_useful,"""Missing or Unclear Takeaway Message"""
311,213,2,"The caption doesn't describe the trend,",not_useful,Insufficient or Unclear Description
312,213,2,it is not straight forward to get the trend without proper context provided,not_useful,Insufficient or Unclear Description
316,604,2,Detailed caption but hard to compare the categories Detailed caption,neutral,Detailed and Informative
317,604,3,"The caption is very long-winded,",not_useful,Detailed but Overloaded with Information
323,758,2,"The caption explains the graph labels well,",useful,Clear and Good Quality
325,846,2,While the caption provides detailed information about the scenarios,neutral,Detailed and Informative
327,846,1,There is no clear explanation about the chart and also no clear takeaway mentioned in the caption.,not_useful,"""Missing or Unclear Takeaway Message"""
330,898,1,No clear trend explained in the caption,not_useful,Observed Pattern Not Explained
334,1100,2,The caption is detailed which helps in understanding the graph's context,useful,Detailed and Informative
335,1100,2,"The caption is good,",neutral,Clear and Good Quality
337,1112,2,The detailed caption makes it a little easier to understand the potential economic growth over time,useful,"""Clear and Good Quality"""
338,1112,1,"The caption doesn't explain the graph well,",not_useful,"""Insufficient or Unclear Description"""
340,1153,2,The caption does not summarize the main trend of the graph,not_useful,Insufficient or Unclear Description
341,1153,4,"The caption can better explain the trend,",neutral,Observed Pattern Not Explained
342,1153,1,"The caption does not justify chart, no clear explanation and takeaways provided",not_useful,Missing or Unclear Takeaway Message
343,1206,2,"despite the detailed caption, the overall presentation requires significant effort to comprehend the main takeaways",not_useful,Missing or Unclear Takeaway Message
346,1400,2,detailed context makes it somewhat confusing,not_useful,Detailed and Informative
347,1400,1,"The caption is okay,",neutral,Insufficient or Unclear Description
348,1400,3,The lines are clearly not mentioned in the caption,not_useful,Insufficient or Unclear Description
349,1510,2,The caption provides little information about the main takeaway,not_useful,"""Missing or Unclear Takeaway Message"""
351,1510,3,"The caption doesn't seem to mention trends in the chart, and what to follow in the chart. Caption is too small without any details",not_useful,Insufficient or Unclear Description
352,1615,2,The caption provides context about the factors,useful,Detailed and Informative
354,1615,4,Caption is lengthy providing detailed context but not enough to summarize the main takeawat or highlighting the most important trend.,neutral,Label: Missing or Unclear Takeaway Message
355,1633,2,"The caption is very detailed about the visualization, it is too long it read",not_useful,"""Detailed but Overloaded with Information"""
356,1633,4,"The caption is good,",neutral,Clear and Good Quality
357,1633,4,caption is lengthy without clearly summarizing the main trend The main takeaway could be more highlighted in the caption,not_useful,"""Missing or Unclear Takeaway Message"""
358,1659,2,"Furthermore, the caption is very detailed about the context while it is informative, the detailed context is hard to interpret",neutral,**Detailed but Overloaded with Information**
359,1659,1,"The caption is okay,",neutral,Insufficient or Unclear Description
360,1659,2,Caption does not mention any key trend,not_useful,Insufficient or Unclear Description
361,1748,2,The caption is detailed,neutral,Detailed and Informative
364,1750,2,The caption provides extensive context about the experiments,useful,**Detailed and Informative**
366,1750,2,the caption does provide details about the terms,useful,"""Clear and Good Quality"""
367,1802,2,detailed context adds to the complexity,neutral,"""Detailed but Overloaded with Information"""
368,1802,4,"The caption is okay,",neutral,Insufficient or Unclear Description
369,1802,2,Even after close look in chart and caption it is not clear.,not_useful,Insufficient or Unclear Description
370,1838,2,"The caption provides a detailed description of the each panel,",useful,Detailed and Informative
372,1838,3,the caption is comprehensive but it does not clearly summarize the main takeaway,neutral,Missing or Unclear Takeaway Message
374,1911,4,"The caption is okay,",neutral,Insufficient or Unclear Description
376,2050,2,The caption doesn't summarize the main trend,not_useful,"""Observed Pattern Not Explained"""
377,2050,4,"The caption should explain the context better,",not_useful,Insufficient or Unclear Description
378,2050,2,"Caption provides information regarding the chart, but does not mention any trends, and comparison of various charts since they are combined. No clear takeaway",not_useful,"""Missing or Unclear Takeaway Message"""
379,2105,2,Although the caption explains what the lines mean it is still hard to get an overall picture of the main trend,neutral,Missing or Unclear Takeaway Message
382,2125,2,The caption is complex takes time to interpret,not_useful,Insufficient or Unclear Description
384,2125,3,"The caption provides the process, but does not provide clear explanation of the trends and comparisons.",not_useful,Observed Pattern Not Explained
385,2254,2,The caption is too long and  it takes time to interpret the main findings.,not_useful,"""Missing or Unclear Takeaway Message"""
388,2262,2,"The caption provided gives detailed context about the data sources,",useful,Detailed and Informative
389,2262,4,The caption is good,neutral,Clear and Good Quality
390,2262,2,require a takeaway message not mentioned in the caption,not_useful,"""Missing or Unclear Takeaway Message"""
391,2276,2,The caption also does not summarize the main trend,not_useful,"""Missing or Unclear Takeaway Message"""
392,2276,4,"The caption doesn't explain the trend of the graphs well,",not_useful,Insufficient or Unclear Description
394,2300,2,"The caption does a good job of explaining what the trends are, the detailed context adds complexity",neutral,Detailed but Overloaded with Information
396,2300,4,"The caption does mention some trends relating the charts, but does not give overall takeaway",not_useful,**Missing or Unclear Takeaway Message**
398,2327,4,the caption should explain the trend,useful,"""Observed Pattern Not Explained"""
399,2327,4,"The caption mentions how the charts are related to each other, but not fully mention the clear takeaway message",not_useful,**Missing or Unclear Takeaway Message**
400,2152,2,The use of technical terms makes it somewhat confusing. The caption provides thorough context but the details add more complexity.,not_useful,"""Detailed and Informative"""
402,2152,3,caption does not provide any clear takeaway message,not_useful,"""Missing or Unclear Takeaway Message"""
403,2194,2,The detailed information can be too much for some viewers,neutral,Detailed but Overloaded with Information
404,2194,5,"The caption is very lengthy,",not_useful,"""5. Detailed but Overloaded with Information"""
406,2215,2,"the caption provides detailed context about the data. While it is informative, it also adds complexity",neutral,Detailed but Overloaded with Information
407,2215,4,"The caption is good,",neutral,Clear and Good Quality
410,242,3,the caption doesn't explain the trend,not_useful,Observed Pattern Not Explained
412,909,1,Caption is too long,not_useful,Detailed but Overloaded with Information
413,909,4,the caption can be more straight to the point,not_useful,Insufficient or Unclear Description
414,909,3,"The caption does not fully interpret the trends in the chart, though it explains about the labels and wordings used and their relations, there is no clear explanation provided",not_useful,Observed Pattern Not Explained
416,950,1,"The caption is good,",useful,Clear and Good Quality
419,1068,1,"The caption doesn't explain the trend,",not_useful,Observed Pattern Not Explained
421,1087,1,While the caption explains the context,useful,Clear and Good Quality
423,1087,1,caption is not in sync with the chart,not_useful,Insufficient or Unclear Description
424,1146,1,The caption is detailed,neutral,Detailed and Informative
428,1177,1,"The caption can better describe the context,",not_useful,Insufficient or Unclear Description
429,1177,2,"The caption does not state any trends in the chart, and no clear takeaways",not_useful,"""Missing or Unclear Takeaway Message"""
430,1178,1,While the caption provides detailed context,useful,Detailed and Informative
431,1178,2,"The caption can better explain the trend,",not_useful,Observed Pattern Not Explained
432,1178,3,"The caption explained the elements used inside the chart like the process of calculations, but takeaway are not clearly mentioned",not_useful,**Missing or Unclear Takeaway Message**
433,1192,1,While the caption provides details context,useful,Detailed and Informative
435,1192,3,"The caption mentioned about the terms in graph like N, N bar but the obvious trend is not explained",not_useful,Observed Pattern Not Explained
436,1205,1,While the caption provides detailed context about the different location,useful,Insufficient or Unclear Description
437,1205,2,"The caption is okay,",neutral,Insufficient or Unclear Description
438,1205,3,"The caption provide some trends in the charts, but often refers to other charts or tables for more information",neutral,Insufficient or Unclear Description
439,1232,1,"While the caption provides context, it is too long to read",neutral,"""Detailed but Overloaded with Information"""
440,1232,1,"The caption is good,",neutral,Clear and Good Quality
443,1246,1,"The caption can better explain the trend,",neutral,Observed Pattern Not Explained
444,1246,2,"The caption does not state any trends in the chart,",not_useful,Insufficient or Unclear Description
445,1294,1,"The caption is too long, The caption is too detailed,",not_useful,**Detailed but Overloaded with Information**
446,1294,1,"The caption can explain the trend better,",neutral,Insufficient or Unclear Description
449,1326,1,"The caption is good,",neutral,"""Clear and Good Quality"""
452,1576,1,"The caption can be more straight-forward,",neutral,Insufficient or Unclear Description
453,1576,2,Caption have too many citations lost reading caption,not_useful,Insufficient or Unclear Description
454,1751,1,detailed context make it confusing to understand,not_useful,**Detailed and Informative**
455,1751,4,"The caption is good,",neutral,Clear and Good Quality
458,1821,2,The caption can be improved to explain the context and trend better,neutral,"""Observed Pattern Not Explained"""
460,1946,1,"The caption is long and although it is informative, it can be confusing to understand",not_useful,Detailed but Overloaded with Information
461,1946,4,"The caption is good,",neutral,Clear and Good Quality
462,1946,3,"The caption is comprehensive and provides detailed methodology, but it is lengthy and does not summarize key takeaway",not_useful,"""Detailed but Overloaded with Information"""
463,1953,1,"While the caption is concise and informative, understanding the data points and different variables can be overwhelming. ",neutral,Detailed but Overloaded with Information
464,1953,4,"The caption is okay,",neutral,Insufficient or Unclear Description
465,1953,2,caption is lengthy and does not summarize takeaway,not_useful,Missing or Unclear Takeaway Message
467,1963,4,"The caption is good,",neutral,Clear and Good Quality
468,1963,3,Caption does not summarize takeaway clearly,not_useful,Missing or Unclear Takeaway Message
473,2008,4,the caption is good,neutral,Clear and Good Quality
474,2008,5,Caption summarize trends in charts,useful,**Detailed and Informative**
476,2052,1,The caption doesn't explain the context or trend,not_useful,Insufficient or Unclear Description
478,2074,2,Caption does not give the necessary context Takeaway message is not clearly mentioned in the caption,not_useful,"""Missing or Unclear Takeaway Message"""
479,2074,3,Caption does not give the necessary context Takeaway message is not clearly mentioned in the caption,not_useful,"""Missing or Unclear Takeaway Message"""
481,2103,2,"Caption does not clearly state the takeaway message, does not expalin the observed pattern The caption does not clarify what chart components represent definition of shaded region in the caption helps understand the chart",not_useful,"""Missing or Unclear Takeaway Message"""
482,2103,1,"The caption does not clarify what chart components represent. Caption does not clearly state the takeaway message, does not expalin the observed pattern. definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent.",not_useful,Insufficient or Unclear Description
484,2138,2,Caption mentions source of the is not a valuable information,not_useful,Insufficient or Unclear Description
485,2138,2,Caption mentions source of the but is not a valuable information.,neutral,Insufficient or Unclear Description
486,2138,3,caption does not mention clear takeaway message,not_useful,Missing or Unclear Takeaway Message
487,2141,3,Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable,useful,**Clear and Good Quality**
488,2141,4,Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable.,useful,Clear and Good Quality
489,2141,2,"Though the caption does mention some trends, but there are no clear comparison or takeaway message which can be drawn from caption",not_useful,"""Missing or Unclear Takeaway Message"""
491,2348,2,caption describes what is shown in the chart which is not useful -- caption should add more information to the visualization instead of being an extension to the chart.,not_useful,"""Insufficient or Unclear Description"""
492,2348,3,Caption does not summarize the clear takeaway message,not_useful,"""Missing or Unclear Takeaway Message"""
493,2354,4,Caption clearly concludes the takeaway message,useful,**Clear and Good Quality**
494,2354,4,Caption clearly concludes the takeaway message,useful,Clear and Good Quality
495,2354,3,"The caption does provide methodology, but does not explain the takeaway message.",not_useful,"""Missing or Unclear Takeaway Message"""
496,2251,1,Caption provides important information. chart legend is repeated in the caption which is distracting,useful,Insufficient or Unclear Description
497,2251,1,Caption provides important information but chart legend is repeated in the caption which is distracting.,not_useful,"""Insufficient or Unclear Description"""
498,2251,3,caption is lengthy and does not provide takeaway message,not_useful,"""Missing or Unclear Takeaway Message"""
