reason_id_x,image_id,rating_x,reason_useful,usefulness_x,feature_x,reason_id_y,rating_y,reason_not_useful,usefulness_y,feature_y,caption,expertise_useful,expertise_not_useful
139,433,4,the caption explains what the different lines mean along with providing detailed information,useful,**Detailed and Informative**,141,3,"The caption provides an explanation about the lines, but does not clearly explain the comparison between the trends.",not_useful,Observed Pattern Not Explained,"Figure 11.5: Time series of annual mean permafrost temperatures (units: degF) at various depths from 39 to 65 feet (12 to 
20 meters) from 1977 through 2015 at several sites across Alaska, including the North Slope continuous permafrost re-
gion (purple/blue/green shades), and the discontinuous permafrost (orange/pink/red shades) in Alaska and northwest-
ern Canada. Solid lines represent the linear trends drawn to highlight that permafrost temperatures are warming faster 
in the colder, coastal permafrost regions than the warmer interior regions. (Figure Source: adapted from Romanovsky 
et al. 2016;175 (c) American Meteorological Society, used with permission.)",,phd
145,491,4,Caption provides a good explanation for what the dots mean. Caption provides a good explanation for what the dots mean. The use of labels helps in understanding the main takeaways,useful,**Clear and Good Quality**,632,4,observed trend is not explained in the caption,not_useful,Observed Pattern Not Explained,"Figure 13.4: Trends in surface (< 50 m) ocean carbonate chemistry calculated from observations obtained at the 
Hawai'i Ocean Time-series (HOT) Program in the North Pacific over 1988-2015. The upper panel shows the linked 
increase in atmospheric (red points) and seawater (blue points) CO2 concentrations. The bottom panel shows a de-
cline in seawater pH (black points, primary y-axis) and carbonate ion concentration (green points, secondary y-axis). 
Ocean chemistry data were obtained from the Hawai'i Ocean Time-series Data Organization & Graphical System 
(HOT-DOGS, http://hahana.soest.hawaii.edu/hot/hot-dogs/index.html). (Figure source: NOAA).",,phd
164,736,4,"The caption describes the graphs well,",useful,Clear and Good Quality,649,3,The caption talks in detailed regarding the simulation scenarios but the main takeaway is missing,not_useful,"""Missing or Unclear Takeaway Message""","Figure 5.7 Radial simulations of CO2 injection into a homogeneous formation 100 m thick, at a depth of 1 km, where the pressure is 10 MPa and 
the temperature is 40degC. The injection rate is 1 MtCO2 yr-1 for 20 years, the horizontal permeability is 10 -13 m2 (approximately 100 mD) and the 
vertical permeability is one-tenth of that. The residual CO2 saturation is 20%. The first three parts of the figure at 2, 20 and 200 years, show the 
gas saturation in the porous medium; the second three parts of the figure at 200, 2000 and 4000 years, show the mass fraction of dissolved CO2 
in the aqueous phase (after Ennis-King and Paterson, 2003).",,phd
172,904,4,Detailed caption. the captions helps with the interpretation. the captions helps with the interpretation,useful,"""Detailed and Informative""",174,3,caption does not summarize main trend,not_useful,Observed Pattern Not Explained,"Figure 6.15 Estimated volume of pH perturbations at global scale for hypothetical examples in which injection of CO2 into the ocean interior 
provides 100% or 10% of the mitigation effort needed to move from a logistic emissions curve cumulatively releasing 18,000 GtCO2 (=5000 
GtC) to emissions consistent with atmospheric CO2 stabilization at 550 ppm according to the WRE550 pathway (Wigley et al., 1996). The curves 
show the simulated fraction of ocean volume with a pH reduction greater than the amount shown on the horizontal axis. For the 10% case, in year 
2100, injection rates are high and about1% of the ocean volume has significant pH reductions; in year 2300, injection rates are low, but previously 
injected CO2 has decreased ocean pH by about 0.1 unit below the value produced by a WRE550 atmospheric CO2 pathway in the absence of CO2 
release directly to the ocean (Caldeira and Wickett, 2005).",,phd
175,1006,4,Clear context with color-coded regions,useful,"""Clear and Good Quality""",176,2,"The caption should explain the trend better,",not_useful,Observed Pattern Not Explained,"Figure 19.1. Probability (see 'Key caveat' above on low confidence for specific quantitatitive results) of exceeding an equilibrium global warming of
2degC above pre-industrial (1.4degC above 1990 levels), for a range of CO2-equivalent stabilisation levels. Source: Hare and Meinshausen (2005).",,
187,1428,4,The caption provides enough information to interpret the graph,useful,"""Clear and Good Quality""",189,1,"The caption does not have any information only references,",not_useful,"""Insufficient or Unclear Description""","Figure 9.9 | Illustrative ranges in lifecycle GHG emissions of petroleum fuels, fi rst-generation biofuels and selected next-generation lignocellulosic biofuels without considering land 
use change. (Sources for estimates plotted: Wu et al., 2005; Fleming et al., 2006; Hill et al., 2006, 2009; Beer et al., 2007; Wang et al., 2007; CONCAWE, 2008; Macedo and Seabra, 
2008; NETL, 2008, 2009; CARB, 2009; Hoefnagels et al., 2010; Hsu et al., 2010; Kaliyan et al., 2010; Larson et al., 2010; Neely et al 2010). Note: FTD = Fischer-Tropsch diesel; RD = 
Renewable diesel (RD is different from biodiesel in processing and product properties). For common feedstock and fuel categories shown in both Figure 2.10 and above (e.g., sugarcane 
ethanol, FTD), the references cited and the ranges of GHG emission estimates are identical.",,
193,1499,4,The caption summarizes the key trend,useful,**Clear and Good Quality**,195,4,"The black lines are not fully mentioned in caption, but could be infered as error lines",not_useful,Insufficient or Unclear Description,"Figure 10.2: Anthropogenic radiative forcing (RF) contributions, separated by land-use and land-cover change (LUL-
CC) and non-LULCC sources (green and maroon bars, respectively), are decomposed by atmospheric constituent to 
year 2010 in this diagram, using the year 1850 as the reference. Total anthropogenic RF contributions by atmospheric 
constituent4 (see also Figure 2.3) are shown for comparison (yellow bars). Error bars represent uncertainties for total 
anthropogenic RF (yellow bars) and for the LULCC components (green bars).5 The SUM bars indicate the net RF when 
all anthropogenic forcing agents are combined. (Figure source: Ward et al. 20145).",,
214,1755,4,the caption provides thorough information about each panel which is informative,useful,Detailed and Informative,216,3,The caption is lengthy and does not clearly summarize main takeaway or maybe highlight the important trend.,not_useful,Missing or Unclear Takeaway Message,"Figure 13.1: Example of the stages in the formation of a simple
climate scenario for temperature using Poza Rica (20.3deg N, 97.3deg W) as
a typical site used in the Mexican part of the Rosenzweig and Parry
(1994) study.
(a) Mean monthly differences () (2xCO2 minus control) of average
temperature (degC) as calculated from the control and 2xCO2 runs of the
Geophysical Fluid Dynamics Laboratory (GFDL) GCM (Manabe and
Wetherald, 1987) for the model grid box that includes the geographic
location of Poza Rica. The climate model spatial resolution is 4.4deg
latitude by 7.5deg longitude.
(b) The average 17-year (1973 to 1989) observed mean monthly
maximum temperature for Poza Rica (solid line) and the 2xCO2 mean
monthly maximum temperature produced by adding the differences
portrayed in (a) to this baseline (dashed line). The crop models,
however, require daily climate data for input.
(c) A sample of one year's (1975) observed daily maximum tempera-
ture data (solid line) and the 2xCO2 daily values created by adding the
monthly differences in a) to the daily data (dashed line). Thus, the
dashed line is the actual daily maximum temperature time-series
describing future climate that was used as one of the weather inputs to
the crop models for this study and for this location (see Liverman et al.,
1994 for further details).",,phd
223,1790,4,The caption provides thorough information about the scenarios and error bars The caption provides thorough information about the scenarios,useful,**Detailed and Informative**,225,4,The caption is dense and does not fully summarize the main takeaway.,not_useful,"""Missing or Unclear Takeaway Message""","Figure 7.6: Regional extreme precipitation event frequency for a lower scenario (RCP4.5) (green; 16 CMIP5 models) 
and the higher scenario (RCP8.5) (blue; 14 CMIP5 models) for a 2-day duration and 5-year return. Calculated for 
2006-2100 but decadal anomalies begin in 2011. Error bars are +-1 standard deviation; standard deviation is calculated 
from the 14 or 16 model values that represent the aggregated average over the regions, over the decades, and over 
the ensemble members of each model. The average frequency for the historical reference period is 0.2 by definition and 
the values in this graph should be interpreted with respect to a comparison with this historical average value. (Figure 
source: Janssen et al. 201458). ",,phd
226,1861,4,The caption makes it easy to understand the main key takeaway,useful,Clear and Good Quality,228,3,The caption is lengthy but does not fully summarize the trend,not_useful,**Missing or Unclear Takeaway Message**,"Figure 3.22. Annual total land (excluding the USA and Canada) cloud cover (black) 
and precipitation (red) anomalies from 1976 to 2003 over global (60degS-75degN), NH 
and SH regions, with the correlation coeffi cient (r) shown at the top. The cloud cover 
is derived by gridding and area-averaging synoptic observations and the precipitation 
is updated from Chen et al. (2002). Typical 5 to 95% error bars for each decade are 
estimates using inter-grid-box variations (from Dai et al., 2006).",,
232,1894,4,The caption is informative and provides necessary context The caption is informative provides necessary context,useful,"""Detailed and Informative""",739,2,caption does not summarize the visualization,not_useful,"""Insufficient or Unclear Description""","Figure 6.25 Preliminary investigations into the change of bacteria, 
nanobenthos and meiobenthos abundance after exposure to 20,000 
and 5,000 ppm CO2 for 77 to 375 hr during three experiments carried 
out at 2,000 m depth in Nankai Trough, north-western Pacific. Error 
bars represent one standard deviation (Ishida et al. 2005).",,
241,1947,4,"The caption provides context about the data sources, scenarios, and an explanation of the main trends. It is long and informative, but adds complexity to the interpretation. The caption provides context about the data sources, scenarios, an explanation of the main trends Despite the detailed context, the visual clarity makes the charts somewhat interpretable",useful,Detailed but Overloaded with Information,243,3,There are many details in caption I did not find any clear takeaway,not_useful,"""Missing or Unclear Takeaway Message""","Figure 10.18. Changes in extremes based on multi-model simulations from nine global coupled climate models, adapted from Tebaldi et al. (2006). (a) Globally averaged 
changes in precipitation intensity (defi ned as the annual total precipitation divided by the number of wet days) for a low (SRES B1), middle (SRES A1B) and high (SRES A2) 
scenario. (b) Changes in spatial patterns of simulated precipitation intensity between two 20-year means (2080-2099 minus 1980-1999) for the A1B scenario. (c) Globally aver-
aged changes in dry days (defi ned as the annual maximum number of consecutive dry days). (d) Changes in spatial patterns of simulated dry days between two 20-year means 
(2080-2099 minus 1980-1999) for the A1B scenario. Solid lines in (a) and (c) are the 10-year smoothed multi-model ensemble means; the envelope indicates the ensemble 
mean standard deviation. Stippling in (b) and (d) denotes areas where at least fi ve of the nine models concur in determining that the change is statistically signifi cant. Extreme 
indices are calculated only over land following Frich et al. (2002). Each model's time series was centred on its 1980 to 1999 average and normalised (rescaled) by its standard 
deviation computed (after de-trending) over the period 1960 to 2099. The models were then aggregated into an ensemble average, both at the global and at the grid-box level. 
Thus, changes are given in units of standard deviations.",,
244,1979,4,The caption provides more information about the chart which makes it somewhat interpretable,useful,**Missing or Unclear Takeaway Message**,246,3,"caption does not contain any clear takeaway, it mentions some trends and relationships, but no clear summary",not_useful,Missing or Unclear Takeaway Message,"Figure 4.12: July zonal mean increase in tropospheric O3 (ppb) as a function of latitude and altitude from Y2000 to Y2100 adopting SRES A2p
projections for CH4, CO, VOC, and NOx. Results are shown for a sample of the chemistry-transport models (CTM) participating in IPCC
OxComp workshop. Increases range from 0 to more than 80 ppb. Changes in the stratosphere (defined as O3 > 150 ppb in that model's Y2000
simulation) are masked off, as are also regions in the upper troposphere for some CTMs (UKMO, HGIS) where O3 is not explicitly calculated.
See Table 4.10 for participating models.",,
253,2054,4,"The caption is informative, it also has some unnecessary information that might not be needed to interpret the charts",useful,**Detailed but Overloaded with Information**,254,5,the caption can be better,not_useful,Insufficient or Unclear Description,"Figure 12.3: (a) Contributions of ocean mass changes from land ice and land water storage (measured by satellite 
gravimetry) and ocean volume changes (or steric, primarily from thermal expansion measured by in situ ocean profilers) 
and their comparison to global mean sea level (GMSL) change (measured by satellite altimetry) since 1993. (b) An 
estimate of modeled GMSL rise in the absence of 20th century warming (blue), from the same model with observed 
warming (red), and compared to observed GMSL change (black). Heavy/light shading indicates the 17th-83rd and 
5th-95th percentiles. (c) Rates of change from 1993 to 2015 in sea surface height from satellite altimetry data; updated 
from Kopp et al.3 using data updated from Church and White.34 (Figure source: (a) adapted and updated from Leuliette 
and Nerem 2016,40 (b) adapted from Kopp et al. 201632 and (c) adapted and updated from Kopp et al. 20153).",,
271,2213,4,The caption provides thorough context about the data sources and the variables shown in each panel. The detailed context also might take time to interpret The caption provides thorough context about the data sources The detailed context also might take time to interpret,useful,Detailed but Overloaded with Information,273,3,"The caption mentions about the calculations that are used to prepare the subcharts, but no takeaway",not_useful,"""Missing or Unclear Takeaway Message""","Figure 3.31. Normalised indices (units of standard deviation) of the mean winter 
(December-March) NAO developed from sea level pressure data. In the top panel, 
the index is based on the difference of normalised sea level pressure between 
Lisbon, Portugal and Stykkisholmur/Reykjavik, Iceland from 1864 to 2005. The aver-
age winter sea level pressure data at each station were normalised by dividing each 
seasonal pressure anomaly by the long-term (1864 to 1983) standard deviation. In 
the middle panel, the index is the principal component time series of the leading EOF 
of Atlantic-sector sea level pressure. In the lower panel, the index is the principal 
component time series of the leading EOF of NH sea level pressure. The smooth 
black curves show decadal variations (see Appendix 3.A). The individual bar corre-
sponds to the January of the winter season (e.g., 1990 is the winter of 1989/1990). 
Updated from Hurrell et al. (2003); see http://www.cgd.ucar.edu/cas/jhurrell/indices.
html for updated time series.",,phd
277,2223,4,The overall presentation is somewhat interpretable with the given context found in the caption,useful,Clear and Good Quality,279,4,"The caption is lengthy and provides the methodology, but is not able to clearly summarize the main trend",not_useful,**Missing or Unclear Takeaway Message**,"Figure 9.13. Change in risk of mean European summer temperatures exceeding 
a threshold of 1.6degC above 1961 to 1990 mean temperatures, a threshold that was 
exceeded in 2003 but in no other year since the start of the instrumental record in 
1851. (Top) Frequency histograms of the estimated likelihood of the risk (probability) 
of exceeding a 1.6degC threshold (relative to the 1961-1990 mean) in the 1990s in the 
presence (red curve) and absence (green curve) of anthropogenic change, expressed 
as an occurrence rate. (Bottom) Fraction of attributable risk (FAR). The vertical line 
indicates the 'best estimate' FAR, the mean risk attributable to anthropogenic factors 
averaged over the distribution. The alternation between grey and white bands 
indicates the deciles of the estimated FAR distribution. The shift from the green to 
the red distribution in (a) implies a FAR distribution with mean 0.75, corresponding to 
a four-fold increase in the risk of such an event (b). From Stott et al. (2004). ",,phd
286,297,3,"There is no visual clutter, the caption provides a summary of the key trends",useful,**Clear and Good Quality**,617,4,caption does not explain the trend,not_useful,Observed Pattern Not Explained,"Figure 9.30: Storm track activity averaged over north-west Europe
(6oW to 20oE, 40o to 70oN) in the ECHAM4/OPYC greenhouse gas
scenario run (Unit: gpm). A 4-year running mean is shown for smoother
display. The grey band indicates the variability of this index in the
control run as measured by one standard deviation. The non-linear
climate trend optimally obtained from quadratic curve fitting is marked
by the dashed line; y-axis is activity in gpm (geopotential metres) and
x-axis is time in calendar years. From Ulbrich and Christoph (1999).",,phd
292,494,3,detailed caption highlights what the chart shows,useful,Detailed and Informative,634,2,caption has too much information,not_useful,"""Detailed but Overloaded with Information""","Figure 2.24 | Overview of land-use change transitions in 2030 and 2050, relative to 2010 based on pathways based on the Shared Socio-Economic Pathways (SSPs) (Popp et 
al., 2017; Riahi et al., 2017; Rogelj et al., 2018). Grey: no-climate-policy baseline; green: 2.6 W m-2 pathways; blue: 1.9 W m-2 pathways. Pink: 1.9 W m-2 pathways grouped per 
underlying socio-economic assumption (from left to right: SSP1 sustainability, SSP2 middle-of-the-road, SSP5 fossil-fuelled development). Ranges show the minimum-maximum 
range across the SSPs. Single pathways are shown with plus signs. Illustrative archetype pathways are highlighted with distinct icons. Each panel shows the changes for a different 
land type. The 1.9 and 2.6 W m-2 pathways are taken as proxies for 1.5degC and 2degC pathways, respectively. The 2.6 W m-2 pathways are mostly consistent with the Lower-2degC and 
Higher-2degC pathway classes. The 1.9 W m-2 pathways are consistent with the 1.5degC-low-OS (mostly SSP1 and SSP2) and 1.5degC-high-OS (SSP5) pathway classes. In 2010, pasture 
was estimated to cover about 3-3.5 103 Mha, food and feed crops about 1.5-1.6 103 Mha, energy crops about 0-14 Mha and forest about 3.7-4.2 103 Mha, across the models 
that reported SSP pathways (Popp et al., 2017). When considering pathways limiting warming to 1.5degC with no or limited overshoot, the full set of scenarios shows a conversion 
of 50-1100 Mha of pasture into 0-600 Mha for energy crops, a 200 Mha reduction to 950 Mha increase forest, and a 400 Mha decrease to a 250 Mha increase in non-pasture 
agricultural land for food and feed crops by 2050 relative to 2010. The large range across the literature and the understanding of the variations across models and assumptions 
leads to medium confidence in the size of these ranges.",,
307,1439,3,"While the legend and the caption provide the needed context, the multiple data points and lines can be a little confusing to interpret at first glance the caption provide the needed context, the multiple data points",useful,Insufficient or Unclear Description,308,5,the caption can be better,not_useful,Insufficient or Unclear Description,"Figure 8.7: Global agricultural mitigation potential in 2030 from top-down models 
by carbon price and stabilisation target
Note: Dashed lines connect results from scenarios where tighter stabilization 
targets were modelled with the same model and identical baseline characteriza-
tion and mitigation technologies. From Chapter 3, Sections 3.3.5 and 3.6.2. 
Source: Data assembled from USCCSP, 2006; Rose et al., 2007; Fawcett and Sands, 2006; Smith 
and Wigley, 2006; Fujino et al., 2006; Kemfert et al., 2006.",,
323,758,2,"The caption explains the graph labels well,",useful,Clear and Good Quality,651,3,the caption is monotonous,not_useful,Insufficient or Unclear Description,"Figure 2.16 | Electricity generation for the four illustrative pathway archetypes plus the IEA's Faster Transition Scenario (IEA, 2017d) (panel a), and their 
relative location in the ranges for pathways limiting warming to 1.5degC with no or limited overshoot (panel b). The category 'Other renewables' includes electricity 
generation not covered by the other categories, for example, hydro and geothermal. The number of pathways that have higher primary energy than the scale in the bottom panel 
are indicated by the numbers above the whiskers. Black horizontal dashed lines indicate the level of primary energy supply in 2015 (IEA, 2017e). Box plots in the lower panel show 
the minimum-maximum range (whiskers), interquartile range (box), and median (vertical thin black line). Symbols in the lower panel show the four pathway archetypes - S1 (white 
square), S2 (yellow square), S5 (black square), LED (white disc) - as well as the IEA's Faster Transition Scenario (red disc). Pathways with no or limited overshoot included the Below-
1.5degC and 1.5degC-low-OS classes. ",,
334,1100,2,The caption is detailed which helps in understanding the graph's context,useful,Detailed and Informative,675,3,Caption is too big,not_useful,Insufficient or Unclear Description,"Figure 5.4 | Investment into mitigation up until 2030 and implications for 
investments for four sustainable development dimensions. Cross-hatched bars show 
the median investment in 1.5degC pathways across results from different models, and 
solid bars for 2degC pathways, respectively. Whiskers on bars represent minima and 
maxima across estimates from six models. Clean water and air pollution investments 
are available only from one model. Mitigation investments show the change in 
investments across mitigation options compared to the baseline. Negative mitigation 
investments (grey bars) denote disinvestment (reduced investment needs) into 
fossil fuel sectors compared to the baseline. Investments for different sustainable 
development dimensions denote the investment needs for complementary measures 
in order to avoid trade-offs (negative impacts) of mitigation. Negative sustainable 
development investments for air pollution indicate cost savings, and thus synergies 
of mitigation for air pollution control costs. The values compare to about 2 trillion 
USD2010 (range of 1.4 to 3 trillion) of total energy-related investments in the 1.5degC 
pathways. Source: Estimates from CD-LINKS scenarios summarised by McCollum et 
al., 2018b.",,phd
337,1112,2,The detailed caption makes it a little easier to understand the potential economic growth over time,useful,"""Clear and Good Quality""",338,1,"The caption doesn't explain the graph well,",not_useful,"""Insufficient or Unclear Description""","Figure 3.2: Comparison of GDP projections in post-SRES emissions scenarios 
with those used in previous scenarios. The median of the new scenarios is about 7% 
below the median of the pre-SRES and SRES scenario literature. The two vertical 
bars on the right extend from the minimum to maximum of the distribution of 
scenarios by 2100. The horizontal bars indicate the 5th, 25th, 50th, 75th and the 95th 
percentiles of the distributions.",,
352,1615,2,The caption provides context about the factors,useful,Detailed and Informative,712,3,"The caption surely augments the , but the problem is it does not describe the trend or provide an explanation for that",not_useful,Observed Pattern Not Explained,"Figure 3.3: Estimates of the contributions of several forcing factors and internal variability to global mean temperature 
change since 1870, based on an empirical approach using multiple linear regression and energy balance models. The 
top panel shows global temperature anomalies (degF) from the observations62 in black with the multiple linear regression 
result in red (1901-1960 base period). The lower four panels show the estimated contribution to global mean temperature 
anomalies from four factors: solar variability; volcanic eruptions; internal variability related to El Nino/Southern Oscillation; 
and anthropogenic forcing. The anthropogenic contribution includes a warming component from greenhouse gases con-
centrations and a cooling component from anthropogenic aerosols. (Figure source: adapted from Canty et al.16).",,
370,1838,2,"The caption provides a detailed description of the each panel,",useful,Detailed and Informative,735,2,the caption does not describe the trends or compare the three models,not_useful,Insufficient or Unclear Description,"Figure 2.8. Estimates used to evaluate trends in weighted global average OH concentrations. (A) and (B): comparison of 1980 to 1999 OH anomalies (relative to their long-
term means) inferred by Bousquet et al. (2005), Prinn et al. (2001) and Krol et al. (2003) from AGAGE methyl chloroform observations, and by Bousquet et al. (2005) when methyl 
chloroform emissions as well as OH are inferred; error bars for Bousquet et al. (2005) refer to 1 standard deviation inversion errors while yellow areas refer to the envelope of 
their 18 OH inversions. (C) OH concentrations for 1979 to 2003 inferred by Prinn et al. (2005a) (utilising industry emissions corrected using recent methyl chloroform observa-
tions), showing the recovery of 2003 OH levels to 1979 levels; also shown are results assuming uncorrected emissions and estimates of recent oceanic re-emissions. Error bars 
in Prinn et al. (2001, 2005a) are 1 standard deviation and include inversion, model, emission and calibration errors from large Monte Carlo ensembles (see Section 2.3.5 for 
details and references).",,
