reason_id,image_id,rating,reason,chart,caption,both,group
182,1301,4,"The graph and caption are good, but some labels are small. ",The graph some labels are small,"caption are good,",,_u_res2
188,1428,4,"Both are okay, but the graph labels are a little small and the caption can explain the trend better.","Both are okay, the graph labels are a little small",the caption can explain the trend better,,_u_res2
203,1697,4,"The caption explains the graph pretty well, but some of the labels are blurry on the graph.",some of the labels are blurry on the graph,"The caption explains the graph pretty well,",,_u_res2
209,1718,3,"The graph is kind of confusing with the red and blue, and the different year labels. The caption should be improved to explain the trend and context.","The graph is kind of confusing with the red blue, the different year labels",The caption should be improved to explain the trend context,,_u_res2
224,1790,4,"The caption is good, but the graph labels and ranges are very small, so it is hard to tell what value they correlate to.","the graph labels ranges are very small, so it is hard to tell what value they correlate to","The caption is good,",,_u_res2
236,1915,4,"The caption is straightforward, and the top graph is understandable, but the bottom graph should include axis labels.","the top graph is understandable, the bottom graph should include axis labels","The caption is straightforward,",,_u_res2
239,1925,4,"The caption is good, but the graph should include a key to explain the different lines.",the graph should include a key to explain the different lines,"The caption is good,",,_u_res2
248,2016,4,The caption needs to be improved to explain the context and trend. The graph is pretty good.,The graph is pretty good,The caption needs to be improved to explain the context and trend,,_u_res2
251,2049,4,"The caption is good, but the graph data doesn't have a key for the symbols.",the graph data doesn't have a key for the symbols,"The caption is good,",,_u_res2
257,2061,4,"The caption can explain the context and trend better, and the graph is pretty understandable.",the graph is pretty understandable,The caption can explain the context and trend better.,,_u_res2
260,2071,4,"The caption is good, but the graph should have a key for the colors.",the graph should have a key for the colors,"The caption is good,",,_u_res2
263,2271,5,The captions and graphs are interpretable.,graphs are interpretable,The captions is interpretable,,_u_res2
275,2220,3,"The caption explains the graph pretty well, but the graph formatting is a little confusing, and it needs a key.","the graph formatting is a little confusing, it needs a key","The caption explains the graph pretty well,",,_u_res2
290,407,3,"The caption explains the graph, but the graph labels are hard to read.",the graph labels are hard to read,"The caption explains the graph,",,_u_res2
293,494,2,"The caption is very wordy, but explains the situation, and the graph is very hard to read.",the graph is very hard to read,"The caption is very wordy, but explains the situation, ",,_u_res2
302,1143,2,"The different colors are explained in the caption, but it is better to have a key, and the graph hard to read with the label intersections","it is better to have a key, the graph hard to read with the label intersections","The different colors are explained in the caption,",,_u_res2
311,213,2,"The caption doesn't describe the trend, and the graph is hard to read. ",the graph is hard to read,"The caption doesn't describe the trend,",,_u_res2
317,604,3,"The caption is very long-winded, and the graph labels are hard to read. ",the graph labels are hard to read,"The caption is very long-winded,",,_u_res2
323,758,2,"The caption explains the graph labels well, but the graph is hard to read. It is hard to tell the difference in colors and labels, especially in the box and whisker plot. ","the graph is hard to read It is hard to tell the difference in colors labels, especially in the box whisker plot","The caption explains the graph labels well,",,_u_res2
335,1100,2,"The caption is good, but the graph labels are hard to read. ",the graph labels are hard to read,"The caption is good,",,_u_res2
338,1112,1,"The caption doesn't explain the graph well, and the graph is very hard to read with the many unlabeled intersecting lines.",the graph is very hard to read with the many unlabeled intersecting lines,"The caption doesn't explain the graph well,",,_u_res2
341,1153,4,"The caption can better explain the trend, and the graph is a little hard to read but understandable. ",the graph is a little hard to read understandable,"The caption can better explain the trend,",,_u_res2
347,1400,1,"The caption is okay, but the graph lines are very hard to understand. The differences in representation is very small that it is hard to tell. ",the graph lines are very hard to understand The differences in representation is very small that it is hard to tell,"The caption is okay,",,_u_res2
356,1633,4,"The caption is good, but the graphs are a little small. ",the graphs are a little small,"The caption is good,",,_u_res2
359,1659,1,"The caption is okay, but the symbols and labels on the graph are hard to read. ",the symbols labels on the graph are hard to read,"The caption is okay,",,_u_res2
368,1802,4,"The caption is okay, but the graph format should be different.",the graph format should be different,"The caption is okay,",,_u_res2
374,1911,4,"The caption is okay, but the graph should include info about what the vertical lines stand for, and format the data differently visually.","the graph should include info about what the vertical lines stand for, format the data differently visually","The caption is okay,",,_u_res2
377,2050,4,"The caption should explain the context better, and the graph should have a key for each data point.",the graph should have a key for each data point,"The caption should explain the context better,",,_u_res2
389,2262,4,"The graph should include a key to explain the colors, and the lines overlap a lot. The caption is good.","The graph should include a key to explain the colors, the lines overlap a lot",The caption is good,,_u_res2
392,2276,4,"The caption doesn't explain the trend of the graphs well, and the graphs should be separated   instead of placed together on the same axis.",the graphs should be separated   instead of placed together on the same axis,"The caption doesn't explain the trend of the graphs well,",,_u_res2
398,2327,4,"For the bottom graph, some of the graph lines are hard to read, and the caption should explain the trend.","For the bottom graph, some of the graph lines are hard to read,",the caption should explain the trend,,_u_res2
407,2215,4,"The caption is good, but the graph formatting could be better.",the graph formatting could be better,"The caption is good,",,_u_res2
410,242,3,"The graph is hard to read, and the caption doesn't explain the trend.","The graph is hard to read,",the caption doesn't explain the trend,,_u_res2
413,909,4,"The graph is well made, but the caption can be more straight to the point. ","The graph is well made,",the caption can be more straight to the point,,_u_res2
416,950,1,"The caption is good, but the graphs are very hard to read, especially the smaller ones. ","the graphs are very hard to read, especially the smaller ones","The caption is good,",,_u_res2
419,1068,1,"The caption doesn't explain the trend, and the graph is very hard to read with the many labels intersecting each other. Even the graph key is hard to read. ",the graph is very hard to read with the many labels intersecting each other Even the graph key is hard to read,"The caption doesn't explain the trend,",,_u_res2
428,1177,1,"The caption can better describe the context, and the graph arrangement is hard to read, and it has no structure.","the graph arrangement is hard to read, it has no structure","The caption can better describe the context,",,_u_res2
431,1178,2,"The caption can better explain the trend, and the graph lines are hard to read, especially since the blue and green intersect a lot. ","the graph lines are hard to read, especially since the blue green intersect a lot","The caption can better explain the trend,",,_u_res2
437,1205,2,"The caption is okay, but the graph is very hard to read with the lines intersecting that much. ",the graph is very hard to read with the lines intersecting that much,"The caption is okay,",,_u_res2
440,1232,1,"The caption is good, but the graphs are very hard to read with the intersecting labels, especially the bottom two. ","the graphs are very hard to read with the intersecting labels, especially the bottom two","The caption is good,",,_u_res2
443,1246,1,"The caption can better explain the trend, and the graph structure is very hard to understand.",the graph structure is very hard to understand,"The caption can better explain the trend,",,_u_res2
446,1294,1,"The caption can explain the trend better, and the graph is very hard to read with all the different symbols and lines close together.",the graph is very hard to read with all the different symbols lines close together,"The caption can explain the trend better,",,_u_res2
449,1326,1,"The caption is good, but the graphs are completely unreadable. None of the labels and points can be seen clearly.",the graphs are completely unreadable None of the labels points can be seen clearly,"The caption is good,",,_u_res2
452,1576,1,"The caption can be more straight-forward, and the graphs are unreadable with all the symbols and colors intersecting. ",the graphs are unreadable with all the symbols colors intersecting,"The caption can be more straight-forward,",,_u_res2
455,1751,4,"The caption is good, but the graph points/lines are hard to differentiate.",the graph points/lines are hard to differentiate,"The caption is good,",,_u_res2
458,1821,2,"The caption can be improved to explain the context and trend better, and the various graph symbols and colors are hard to interpret, especially since they are small and clustered.","the various graph symbols and colors are hard to interpret, especially since they are small and clustered.",The caption can be improved to explain the context and trend better,,_u_res2
461,1946,4,"The caption is good, but the graph lines are very clustered and hard to read.",the graph lines are very clustered hard to read,"The caption is good,",,_u_res2
464,1953,4,"The caption is okay, but the graph points are hard to read.",the graph points are hard to read,"The caption is okay,",,_u_res2
467,1963,4,"The caption is good, but the graph should also have a key for the different lines.",the graph should also have a key for the different lines,"The caption is good,",,_u_res2
473,2008,4,"The data on the graph is overlaps a lot, so it is a little hard to read, and the caption is good.","The data on the graph is overlaps a lot, so it is a little hard to read,",the caption is good,,_u_res2
476,2052,1,"The caption doesn't explain the context or trend. The graph is very blurry, the data overlaps a lot, and the entire graph is very hard to read.","The graph is very blurry, the data overlaps a lot, the entire graph is very hard to read",The caption doesn't explain the context or trend,,_u_res2
479,2074,3,"multiple panels would have made it easier to read the chart, stacking charts with different labels for y-axis makes it difficult to read. Individual components of the chart are easy to read. A lot of information is encoded in the chart making it overwhelming to look at. Caption does not give the necessary context. Takeaway message is not clearly mentioned in the caption.","multiple panels would have made it easier to read the chart, stacking charts with different labels for y-axis makes it difficult to read Individual components of the chart are easy to read A lot of information is encoded in the chart making it overwhelming to look at",Caption does not give the necessary context Takeaway message is not clearly mentioned in the caption,,_u_res2
482,2103,1,"chart shows different attributes in a shared y-axis. Chart would be easire to read if it was divided into multiple panels. Legend required to understand chart components in not available in the chart. Use of dual axis makes it more confusing to read the charts. The caption does not clarify what chart components represent. Caption does not clearly state the takeaway message, does not expalin the observed pattern. definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent.",chart shows different attributes in a shared y-axis. Chart would be easire to read if it was divided into multiple panels. Legend required to understand chart components in not available in the chart. Use of dual axis makes it more confusing to read the charts.,"The caption does not clarify what chart components represent. Caption does not clearly state the takeaway message, does not expalin the observed pattern. definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent.",,_u_res2
488,2141,4,"clutter in the chart is overwhelming. Shared axis show use the same scale and unit making it easy to read the chart. since color and spatial regions are used to encode an attribute, it is easy to read the chart even if a legend for color usage is not provided. Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable.","clutter in the chart is overwhelming. Shared axis show use the same scale and unit making it easy to read the chart. since color and spatial regions are used to encode an attribute, it is easy to read the chart even if a legend for color usage is not provided.",Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable.,,_u_res2
491,2348,2,"caption describes what is shown in the chart which is not useful -- caption should add more information to the visualization instead of being an extension to the chart. Althought the chart looks cluttered, trend is clearly visible in the chart leading to an easily interpretable takeaway message. The chart uses inconsistent y-axis so the observed increase rate is not reliable. ","Althought the chart looks cluttered, trend is clearly visible in the chart leading to an easily interpretable takeaway message. The chart uses inconsistent y-axis so the observed increase rate is not reliable. ",caption describes what is shown in the chart which is not useful -- caption should add more information to the visualization instead of being an extension to the chart.,,_u_res2
500,149,2,legend for colors used in the chart are not defined. Axes used in the chart are nod labeled. The chart is annotated but the context required to understand the annotations are not given in the caption. Difficult to connect caption to the chart.,legend for colors used in the chart are not defined Axes used in the chart are nod labeled The chart is annotated,the context required to understand the annotations are not given in the caption,Difficult to connect caption to the chart,_u_res2
514,650,5,Pattern of trend in chart is easy to understand. Caption helps in understanding annotations used in the chart. Caption clearly states the takeaway message and provides required context to read the cahrt.,Pattern of trend in chart is easy to understand,Caption helps in understanding annotations used in the chart. Caption clearly states the takeaway message provides required context to read the chart,,_u_res2
515,650,5,Pattern of trend in chart is easy to understand. Caption helps in understanding annotations used in the chart. Caption clearly states the takeaway message and provides required context to read the cahrt.,Pattern of trend in chart is easy to understand,Caption helps in understanding annotations used in the chart. Caption clearly states the takeaway message and provides required context to read the cahrt.,,_u_res2
521,859,4,The axes title are descriptive in the chartwhich helps in understanding the pattern and overall takeaway message. Caption does not add any value.,The axes title are descriptive in the chartwhich helps in understanding the pattern and overall takeaway message.,Caption does not add any value.,,_u_res2
524,882,3,"Caption summarizes the message shown in the chart however, domain knowledge is required to get a clear takeaway message. Chart is easy to read and low level message is easy to grasp",Chart is easy to read low level message is easy to grasp,"Caption summarizes the message shown in the chart however, domain knowledge is required to get a clear takeaway message",,_u_res2
527,547,2,title of subplots in the visualization are included in the caption. Chart does not have legend of the colors used. caption does not provide sufficient context of the chart.,Chart does not have legend of the colors used,title of subplots in the visualization are included in the caption. caption does not provide sufficient context of the chart.,,_u_res2
536,442,1,Marks in the chart overlap causing visual clutter. Abberviations used in the chart are unclear. Caption does not describe the visualization. Cption does not prodive context of the data. Multiple plots are placed close to each other in the chart. legend for multiple symbols used in the chart are not given.,Marks in the chart overlap causing visual clutter. Abberviations used in the chart are unclear.  Multiple plots are placed close to each other in the chart. legend for multiple symbols used in the chart are not given.,Caption does not describe the visualization. Caption does not prodive context of the data.,,_u_res2
539,2018,3,"the chart has difficult to see axes labels but trend show easy takeaway. Chart does not have legend for colors used. Multiple graphs used but relation between them is not clear. 
Caption has data source which isn’t important. Caption describes trend which adds to length which is distracting. Caption provides context but doesn’t have enough information. Caption does not indicate the takeaway message.",the chart has difficult to see axes labels trend show easy takeaway Chart does not have legend for colors used Multiple graphs used relation between them is not clear,Caption has data source which isn’t important Caption describes trend which adds to length which is distracting Caption provides context but doesn’t have enough information Caption does not indicate the takeaway message,,_u_res2
542,2025,1,"multiple graphs in one view are difficult to read. Visual clutter makes it difficult to read the chart. The visualization is complex and difficult to understand.
Caption describes chart components. Caption does not describe the trend or takeaway is needed. Caption has reference to the context but inline summary of context would be useful.",multiple graphs in one view are difficult to read Visual clutter makes it difficult to read the chart The visualization is complex difficult to understand,Caption describes chart components. Caption does not describe the trend or takeaway is needed. Caption has reference to the context but inline summary of context would be useful.,,_u_res2
545,2060,5,Caption describes the visualization. Caption does not explain the trend. Lack of domain knowledge makes it difficult to read the chart. Key takeaway is not clear looking at both. Shared x-axis in the chart helps to compare the different data attributes plotted in the chart.,Shared x-axis in the chart helps to compare the different data attributes plotted in the chart,Caption describes the visualization. Caption does not explain the trend.,Lack of domain knowledge makes it difficult to read the chart. Key takeaway is not clear looking at both.,_u_res2
551,2117,4,Caption contains context required to understand the visualization. Caption explain the chart well. Caption does not mention the key takeaway message. Use of 3D visualization in the chart makes it difficult to extract values in the z-axis. The chart gives an idea of the key takeaway message.,Use of 3D visualization in the chart makes it difficult to extract values in the z-axis The chart gives an idea of the key takeaway message,Caption contains context required to understand the visualization Caption explain the chart well Caption does not mention the key takeaway message,,_u_res2
560,2293,3,Collective trend and outliers are easy to detect in the chart making the overall message clear. The caption summarizes the visualization. Caption includes references to the data source which is not helpful.,Collective trend outliers are easy to detect in the chart making the overall message clear,The caption summarizes the visualization. Caption includes references to the data source which is not helpful.,,_u_res2
563,2364,3,Caption is wordy and uses a lot os domain specific technical terms and references. Caption does not explain the abberviations used in the chart. Use of abberviations in the chart makes it difficult to understand. Caption does not contain useful message. Lack of domain knowledge makes it difficult to understand the goal of the visualization.,Use of abberviations in the chart makes it difficult to understand.,Caption is wordy and uses a lot of domain specific technical terms and references. Caption does not explain the abberviations used in the chart. Caption does not contain useful message.,Lack of domain knowledge makes it difficult to understand the goal of the visualization.,_u_res2
584,1917,3,Use of multiple panels in the graph is confusing. Use of shapes to encode categorical values in the graph is confusing. The chart does not containg legend for colors used. Caption explains the methodology but not bserved patterns of takeaway message. Context must be present in the cantion to understand the visualization.,Use of multiple panels in the graph is confusing. Use of shapes to encode categorical values in the graph is confusing. The chart does not containg legend for colors used.,Caption explains the methodology but not bserved patterns of takeaway message. Context must be present in the cantion to understand the visualization.,,_u_res2
590,2028,4,Chart doesnot contain labels for different mark types used. Chart uses dual axis making difficult to interpret the takeaway message. Caption describes the marks used in the chart. Caption explains the relationship between the two axes in the dual axis. shared axis makes it easy to compart across charts.,Chart doesnot contain labels for different mark types used. Chart uses dual axis making difficult to interpret the takeaway message. shared axis makes it easy to compare across charts.,Caption describes the marks used in the chart. Caption explains the relationship between the two axes in the dual axis.,,_u_res2
13,2360,5,Easy to interpret the chart and see the main trends without looking at the caption.,Easy to interpret the chart and see the main trends without looking at the caption. Easy to interpret the chart,see the main trends without looking at the caption,,_u_res1
25,339,5,Detailed caption and a clear chart makes it easy to understand the main trend,a clear chart makes it easy to understand the main trend,Detailed caption,,_u_res1
28,436,5,Clear representations with detailed caption that includes the symbols and lines (shown in chart),Clear representations lines (shown in chart),detailed caption that includes the symbols and lines (shown in chart) Clear representations with detailed caption that includes the symbols,,_u_res1
37,572,5,"Clear time series and labeled axes, caption summarizes main takeaway","Clear time series and labeled axes, Clear time series",caption summarizes main takeaway,"labeled axes, caption summarizes main takeaway",_u_res1
40,610,5,"The chart has color coding, it is well-organized and the caption is informative.","The chart has color coding, it is well-organized . The chart has color coding, it is well-organized",the caption is informative . the caption is informative,,_u_res1
43,660,5,The graph uses colors to represent 3 different categories making it easy to follow each line. The detailed caption provides a clear takeaway,The graph uses colors to represent 3 different categories making it easy to follow each line,The detailed caption provides a clear takeaway,,_u_res1
46,690,5,"The caption helps with interpretation of the chart. 
The chart is organized and labeled which helps with understanding the main takeaway.",The chart is organized and labeled which helps with understanding the main takeaway The chart is organized labeled which helps with understanding the main takeaway,The caption helps with interpretation of the chart,,_u_res1
52,920,5,Easy to compare categories and caption summarizes the main trend,Easy to compare categories,caption summarizes the main trend,,_u_res1
55,937,5,"Clear visualization with detailed caption. The chart uses color coding and thick lines to show the medians, and the total range of models. ","Clear visualization. The chart uses color coding and thick lines to show the medians, and the total range of models The chart uses color coding thick lines to show the medians, the total range of models",detailed caption,,_u_res1
58,994,5,Clear visualization with detailed caption. The different lines along with the shaded area conveys the main takeaway.,"Clear visualization. The chart uses color coding and thick lines to show the medians, and the total range of models The different lines along with the shaded area conveys the main takeaway",detailed caption,,_u_res1
64,1081,5,Easy to see the annual average and understand the main takeaway by reading the caption.,Easy to see the annual average,understand the main takeaway by reading the caption,,_u_res1
70,1277,5,The words on the side explaining the y-axis is cut off but the caption provides good details to interpret the graph. The legend further helps in understanding the main takeaway.,The legend further helps in understanding the main takeaway. The words on the side explaining the y-axis is cut off. The words on the side explaining the y-axis is cut off The legend further helps in understanding the main takeaway,the caption provides good details to interpret the graph,,_u_res1
73,1285,5,The chart shows the time series of the global annual ocean with color-code lines for different categories. The caption provides detailed context explaining the CI and data source. The clear labels from the average time periods help in understanding the main trend.,The chart shows the time series of the global annual ocean with color-code lines for different categories . The clear labels from the average time periods help in understanding the main trend The chart shows the time series of the global annual ocean with color-code lines for different categories data source The clear labels from the average time periods help in understanding the main trend,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,,_u_res1
76,1295,5,The chart shows the time series of the global annual ocean with color-code lines for different categories. The caption provides detailed context explaining the CI and data source. The clear labels from the average time periods help in understanding the main trend.,The chart shows the time series of the global annual ocean with color-code lines for different categories The clear labels from the average time periods help in understanding the main trend The chart shows the time series of the global annual ocean with color-code lines for different categories data source The clear labels from the average time periods help in understanding the main trend,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,,_u_res1
79,1303,5,The captions explains the main trend and the graph is easy to interpret.,the graph is easy to interpret,The captions explains the main trend and the graph is easy to interpret The captions explains the main trend,,_u_res1
94,1779,5,The chart shows the comparison between the simulations and observations. Each panel is well laid out and labeled so it is easy to compare the scenarios. The chart's caption is long but includes an overview of the data.,The chart shows the comparison between the simulations and observations Each panel is well laid out and labeled so it is easy to compare the scenarios The chart shows the comparison between the simulations observations Each panel is well laid out labeled so it is easy to compare the scenarios includes an overview of the data,The chart's caption is long but includes an overview of the data,The chart's caption is long,_u_res1
103,1839,5,"The scatter plot shows the relationship between the x and y axis. The line of best fit clearly shows the trend. The caption also provides detailed context about the source data.
Clear representation makes it easy to interpret. ",The scatter plot shows the relationship between the x and y axis The line of best fit clearly shows the trend. Clear representation makes it easy to interpret The scatter plot shows the relationship between the x y axis The line of best fit clearly shows the trend Clear representation makes it easy to interpret,The caption also provides detailed context about the source data,,_u_res1
109,2062,5,"Easy to compare categories and the use of colors to represent data makes it easier to compare them. Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway.",Easy to compare categories and the use of colors to represent data makes it easier to compare them Easy to compare categories the use of colors to represent data makes it easier to compare them,"Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway",,_u_res1
121,112,4,The design and clarity can be improved. Clear takeaway was not given,The design and clarity can be improved. The design clarity can be improved,Clear takeaway was not given,,_u_res1
130,317,4,"The caption provides details information about the chart. 
Colors and labels are used effectively to convey the main takeaway.
",Colors and labels are used effectively to convey the main takeaway Colors labels are used effectively to convey the main takeaway,The caption provides details information about the chart,,_u_res1
136,380,4,"The caption is detailed, but does not provide the clear takeaway",does not provide the clear takeaway,"The caption is detailed, but does not provide the clear takeaway The caption is detailed,",,_u_res1
139,433,4,"No legend included, the caption explains what the different lines mean along with providing detailed information. ",No legend included,the caption explains what the different lines mean along with providing detailed information,"No legend included, the caption explains what the different lines mean along with providing detailed information",_u_res1
145,491,4,"- Caption provides a good explanation for what the dots mean
- The use of labels helps in understanding the main takeaways",The use of labels helps in understanding the main takeaways,"Caption provides a good explanation for what the dots mean - Caption provides a good explanation for what the dots mean
- The use of labels helps in understanding the main takeaways",,_u_res1
148,492,4,Easy to interpret with use of labels and detailed caption,Easy to interpret with use of labels,detailed caption,,_u_res1
154,639,4,The caption provides the main takeaways while the chart uses color coding to help understand the caption,the chart uses color coding to help understand the caption,The caption provides the main takeaways,The caption provides the main takeaways while the chart uses color coding to help understand the caption,_u_res1
157,643,4,"Too many categories are present in the chart, but they are well organized and labeled. 
The different bars in the chart are not easy to comprehend without reading the captions ","Too many categories are present in the chart, but they are well organized and labeled Too many categories are present in the chart, they are well organized labeled",The different bars in the chart are not easy to comprehend without reading the captions,,_u_res1
163,736,4,Informative caption but complex data requires interpretation,complex data requires interpretation,Informative caption but complex data requires interpretation Informative caption,,_u_res1
166,828,4,Overlapping lines makes it difficult to interpret. But the annual mean is shown which helps. Informative caption.,Overlapping lines makes it difficult to interpret But the annual mean is shown which helps Overlapping lines makes it difficult to interpret But the annual mean is shown which helps,Informative caption,,_u_res1
172,904,4,"Detailed caption, chart has different curves representing different depths and locations. The x-axis and y-axis are clear, and the captions helps with the interpretation. No legend is present.","chart has different curves representing different depths and locations. The x-axis and y-axis are clear, and the captions helps with the interpretation. No legend is present. locations The x-axis y-axis are clear, No legend is present",Detailed caption. the captions helps with the interpretation. the captions helps with the interpretation,,_u_res1
175,1006,4,Clear context with color-coded regions but multiple lines make the chart somewhat complex.,Clear context with color-coded regions but multiple lines make the chart somewhat complex multiple lines make the chart somewhat complex,Clear context with color-coded regions,,_u_res1
178,1044,4,"Too many lines and shaded regions makes the chart more complicated, but the detailed information in the caption helps.","Too many lines and shaded regions makes the chart more complicated, Too many lines shaded regions makes the chart more complicated,",the detailed information in the caption helps,,_u_res1
181,1301,4,"The chart includes various components represent by different patterns and colors. The caption provided is extensive, which is informative but it adds to the complexity. Furthermore, the blue/grey shaded areas add additional visual elements.","The chart includes various components represent by different patterns and colors Furthermore, the blue/grey shaded areas add additional visual elements The chart includes various components represent by different patterns colors it adds to the complexity Furthermore, the blue/grey shaded areas add additional visual elements","The caption provided is extensive, which is informative but it adds to the complexity The caption provided is extensive, which is informative",,_u_res1
184,1388,4,Clear explanation in the caption and the graph has a zoomed in graph inside it making it easier to interpret the information given.,the graph has a zoomed in graph inside it making it easier to interpret the information given,Clear explanation in the caption,,_u_res1
187,1428,4,"The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns. The caption provides enough information to interpret the graph.  The use of multiple sources makes the chart somewhat clutters, but it is interpretable. ","The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns. The use of multiple sources makes the chart somewhat clutters, but it is interpretable The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns The use of multiple sources makes the chart somewhat clutters, it is interpretable",The caption provides enough information to interpret the graph,,_u_res1
205,1715,4,Multiple panels and detailed context add complexity making it somewhat confusing.,Multiple panels and detailed context add complexity making it somewhat confusing Multiple panels,detailed context add complexity making it somewhat confusing,,_u_res1
211,1726,4,Detailed caption but the multiple elements make it somewhat interpretable,the multiple elements make it somewhat interpretable,Detailed caption,,_u_res1
214,1755,4,The graph is easy to understand and the caption provides thorough information about each panel which is informative.,The graph is easy to understand,the caption provides thorough information about each panel which is informative,,_u_res1
217,1757,4,"The use of different colors for each line, makes it easy to differentiate the data clearly. The chart also includes a legend, but it can be hard to understand without the help of the detailed context. ","The use of different colors for each line, makes it easy to differentiate the data clearly The chart also includes a legend. The use of different colors for each line, makes it easy to differentiate the data clearly The chart also includes a legend,",chart is hard to understand without the help of the detailed context in caption it can be hard to understand without the help of the detailed context,,_u_res1
220,1777,4,"The visualization includes multiple panels for different regions and periods. The use of these panels adds to the complexity. The caption provides thorough information about the anomalies, but it can take a while to understand the context about the takeaway. ",The visualization includes multiple panels for different regions and periods. The use of these panels adds to the complexity The visualization includes multiple panels for different regions periods The use of these panels adds to the complexity,"The caption provides thorough information about the anomalies, but it can take a while to understand the context about the takeaway The caption provides thorough information about the anomalies, it can take a while to understand the context about the takeaway",,_u_res1
223,1790,4,"The chart shows the frequency for two scenarios, and it is somewhat easy to understand. The caption provides thorough information about the scenarios and error bars. ","The chart shows the frequency for two scenarios, and it is somewhat easy to understand The chart shows the frequency for two scenarios, it is somewhat easy to understand error bars",The caption provides thorough information about the scenarios and error bars The caption provides thorough information about the scenarios,,_u_res1
226,1861,4,The legend and well-defined axes make the charts somewhat interpretable. The caption makes it easy to understand the main key takeaway.,The legend and well-defined axes make the charts somewhat interpretable The legend well-defined axes make the charts somewhat interpretable,The caption makes it easy to understand the main key takeaway,,_u_res1
229,1874,4,"The scatter plot shows the relationship between the x and y axis, and the data points and arrows clearly show the trends. The use of symbols helps to differentiate the data points.. Also, the caption is long so can take a little time to  understand the context of the chart. ","clearly observable trend. The use of symbols helps to differentiate the data points. The scatter plot shows the relationship between the x y axis, the data points arrows clearly show the trends The use of symbols helps to differentiate the data points","the caption is long so can take a little time to  understand the context of the chart. Also, the caption is long so can take a little time to  understand the context of the chart",,_u_res1
